seed	regime	N_active	N_active_TF	mean_P_terminal
0	collapse	0	0	1.5652022723380244e-05
1	collapse	0	0	2.275132020442508e-05
2	steady	34	6	0.019999999999999997
3	collapse	0	0	5.82442823026361e-07
4	collapse	0	0	1.361536951252789e-05
5	collapse	0	0	0.0006272233860998605
6	collapse	0	0	3.345903368830112e-05
7	collapse	1	0	0.0153006845463664
8	collapse	0	0	5.441937768446894e-07
9	collapse	0	0	0.0024138062811035203
10	collapse	0	0	0.00038939863331877774
11	collapse	0	0	4.310548764858007e-06
12	collapse	0	0	0.008739812648071619
13	collapse	0	0	8.199863433130619e-07
14	collapse	0	0	0.0001804269022432821
15	steady	29	5	0.019999999999999997
16	collapse	0	0	4.7444805810312155e-06
17	steady	31	6	0.020000000000000004
18	collapse	0	0	7.3557683738946865e-06
19	steady	34	6	0.02
20	steady	43	6	0.02
21	collapse	0	0	1.4066930640226324e-06
22	collapse	0	0	1.1316472018796802e-05
23	steady	28	4	0.019999999999999997
24	collapse	0	0	9.79995328352483e-06
25	collapse	0	0	1.2594021603228756e-07
26	collapse	0	0	0.000418577424567344
27	collapse	0	0	0.0002684304493143718
28	collapse	0	0	0.0011571824048881771
29	steady	44	6	0.020000000000000004
30	collapse	0	0	7.634498371297603e-05
31	steady	40	6	0.019999999999999997
32	collapse	0	0	0.0020535092593978103
33	steady	3	0	0.020000000000000007
34	collapse	0	0	0.00047033978884768255
35	collapse	0	0	3.0860890552784377e-06
36	collapse	0	0	1.2017981071492863e-05
37	collapse	0	0	2.0142295408932076e-05
38	steady	45	6	0.02
39	collapse	0	0	4.343745844473722e-07
40	collapse	0	0	1.5205829682671749e-05
41	collapse	0	0	0.0001903971553519105
42	collapse	0	0	4.11818588934064e-06
43	collapse	0	0	0.003578507530098977
44	collapse	0	0	9.873345606257808e-06
45	collapse	0	0	4.360745401996864e-07
46	collapse	0	0	3.225830149306908e-05
47	steady	42	6	0.020000000000000004
48	collapse	0	0	2.5144861729758885e-05
49	steady	2	0	0.020000000000000004
50	collapse	0	0	1.7766899302335212e-05
51	collapse	0	0	0.0004052473345235158
52	steady	34	5	0.020000000000000004
53	collapse	0	0	0.0002713999065845003
54	collapse	0	0	0.011209544645453541
55	steady	31	4	0.02
56	steady	36	6	0.02
57	collapse	0	0	6.953535892149427e-05
58	collapse	1	0	0.019999999999999997
59	collapse	1	0	0.02
60	collapse	0	0	0.0001544314358321673
61	collapse	0	0	1.651491525804219e-05
62	steady	17	4	0.02
63	collapse	0	0	7.067925047689377e-06
64	steady	35	5	0.019999999999999997
65	collapse	0	0	0.009847862263668154
66	steady	37	5	0.019999999999999997
67	collapse	0	0	7.762393782725433e-06
68	collapse	0	0	8.244733757643573e-06
69	steady	23	1	0.019999999999999997
70	steady	46	6	0.02
71	collapse	0	0	0.0001995014914593763
72	collapse	0	0	2.0072526066705143e-06
73	collapse	0	0	0.0009970320518681102
74	steady	46	6	0.02
75	steady	40	6	0.019999999999999997
76	collapse	0	0	3.028899043065636e-08
77	collapse	0	0	9.982665680388967e-06
78	collapse	0	0	1.5473206266498963e-06
79	collapse	0	0	2.084563987997715e-07
80	collapse	0	0	1.6248324923039656e-06
81	steady	40	6	0.02
82	collapse	0	0	3.0813554585168907e-06
83	steady	30	5	0.020000000000000004
84	collapse	1	0	0.020000000000000004
85	collapse	0	0	7.1741537152344416e-06
86	collapse	0	0	0.00012969683700854245
87	steady	47	6	0.019999999999999997
88	collapse	0	0	0.0030775883758724547
89	collapse	0	0	1.0631029849478893e-05
90	collapse	0	0	9.93146875890272e-05
91	collapse	0	0	1.1555883773201338e-07
92	collapse	0	0	1.3734621326505903e-05
93	collapse	0	0	8.511592097684987e-07
94	collapse	0	0	2.7616028093624957e-07
95	collapse	0	0	2.9058796864197622e-05
96	collapse	0	0	7.515343231373524e-05
97	collapse	0	0	0.0020597269451127775
98	collapse	0	0	4.060276936269188e-05
99	steady	36	6	0.02
