seed	regime	tf_node	in_degree	out_degree	total_degree	SCC_id	in_largest_SCC	largest_SCC_size	n_cycles
546	collapse	0	1	1	2	1	False	3	2
546	collapse	1	2	1	3	0	True	3	2
546	collapse	2	2	1	3	0	True	3	2
546	collapse	3	0	3	3	3	False	3	2
546	collapse	4	1	1	2	2	False	3	2
546	collapse	5	3	2	5	0	True	3	2
2026	steady	0	1	2	3	0	True	6	6
2026	steady	1	2	3	5	0	True	6	6
2026	steady	2	1	1	2	0	True	6	6
2026	steady	3	2	2	4	0	True	6	6
2026	steady	4	4	2	6	0	True	6	6
2026	steady	5	1	1	2	0	True	6	6
2177	collapse	0	0	2	2	2	False	2	1
2177	collapse	1	2	1	3	1	False	2	1
2177	collapse	2	0	2	2	4	False	2	1
2177	collapse	3	3	1	4	0	True	2	1
2177	collapse	4	1	1	2	3	False	2	1
2177	collapse	5	2	1	3	0	True	2	1
3441	collapse	0	3	2	5	0	True	6	12
3441	collapse	1	3	1	4	0	True	6	12
3441	collapse	2	3	3	6	0	True	6	12
3441	collapse	3	1	2	3	0	True	6	12
3441	collapse	4	1	3	4	0	True	6	12
3441	collapse	5	3	3	6	0	True	6	12
3492	collapse	0	3	2	5	0	True	3	2
3492	collapse	1	2	1	3	0	True	3	2
3492	collapse	2	0	1	1	3	False	3	2
3492	collapse	3	1	2	3	1	False	3	2
3492	collapse	4	2	1	3	0	True	3	2
3492	collapse	5	1	2	3	2	False	3	2
4094	steady	0	4	3	7	0	True	6	11
4094	steady	1	2	3	5	0	True	6	11
4094	steady	2	3	3	6	0	True	6	11
4094	steady	3	2	1	3	0	True	6	11
4094	steady	4	1	2	3	0	True	6	11
4094	steady	5	1	1	2	0	True	6	11
4478	steady	0	4	2	6	0	True	6	20
4478	steady	1	1	2	3	0	True	6	20
4478	steady	2	1	3	4	0	True	6	20
4478	steady	3	2	3	5	0	True	6	20
4478	steady	4	4	2	6	0	True	6	20
4478	steady	5	3	3	6	0	True	6	20
4578	collapse	0	1	3	4	0	True	6	7
4578	collapse	1	2	2	4	0	True	6	7
4578	collapse	2	2	1	3	0	True	6	7
4578	collapse	3	3	2	5	0	True	6	7
4578	collapse	4	1	1	2	0	True	6	7
4578	collapse	5	2	2	4	0	True	6	7
6798	collapse	0	2	2	4	0	True	6	13
6798	collapse	1	3	3	6	0	True	6	13
6798	collapse	2	2	2	4	0	True	6	13
6798	collapse	3	4	1	5	0	True	6	13
6798	collapse	4	2	3	5	0	True	6	13
6798	collapse	5	1	3	4	0	True	6	13
7483	collapse	0	2	1	3	0	True	5	12
7483	collapse	1	4	3	7	0	True	5	12
7483	collapse	2	2	3	5	0	True	5	12
7483	collapse	3	4	3	7	0	True	5	12
7483	collapse	4	0	2	2	1	False	5	12
7483	collapse	5	2	2	4	0	True	5	12
7709	steady	0	1	2	3	0	True	6	8
7709	steady	1	3	2	5	0	True	6	8
7709	steady	2	2	2	4	0	True	6	8
7709	steady	3	1	2	3	0	True	6	8
7709	steady	4	2	1	3	0	True	6	8
7709	steady	5	2	2	4	0	True	6	8
