seed	gamma	original_regime	scaled_regime	mean_X_terminal	mean_P_terminal
546	0.5	collapse	collapse	2.9361177502834562e-08	2.998175764094677e-07
546	1.0	collapse	collapse	3.0529450256371654e-08	3.2025600964277075e-07
546	2.0	collapse	collapse	3.164769095690024e-08	3.4576844992506977e-07
546	5.0	collapse	collapse	3.2271257920502465e-08	3.848317701675656e-07
6798	0.5	collapse	collapse	1.493287522601629e-08	2.809247854333432e-06
6798	1.0	collapse	collapse	7.154848521247077e-09	3.1070056748387533e-06
6798	2.0	collapse	collapse	2.8233585663120865e-09	3.5388091143177197e-06
6798	5.0	collapse	collapse	6.92438947977127e-10	4.4055529374313436e-06
546	0.5	collapse	collapse	2.9361177502834562e-08	2.998175764094677e-07
546	1.0	collapse	collapse	3.0529450256371654e-08	3.2025600964277075e-07
546	2.0	collapse	collapse	3.164769095690024e-08	3.4576844992506977e-07
546	5.0	collapse	collapse	3.2271257920502465e-08	3.848317701675656e-07
4578	0.5	collapse	collapse	3.268088079980723e-06	3.904907103721137e-05
4578	1.0	collapse	collapse	3.453048123228803e-06	4.125795566841178e-05
4578	2.0	collapse	collapse	3.6659351981649613e-06	4.380028549976993e-05
4578	5.0	collapse	collapse	3.957863752425393e-06	4.728640444154513e-05
6798	0.5	collapse	collapse	1.493287522601629e-08	2.809247854333432e-06
6798	1.0	collapse	collapse	7.154848521247077e-09	3.1070056748387533e-06
6798	2.0	collapse	collapse	2.8233585663120865e-09	3.5388091143177197e-06
6798	5.0	collapse	collapse	6.92438947977127e-10	4.4055529374313436e-06
2177	0.5	collapse	collapse	1.9482542207088162e-07	1.3276835163158539e-06
2177	1.0	collapse	collapse	2.1042381680599237e-07	1.444695199498186e-06
2177	2.0	collapse	collapse	2.3415465025600983e-07	1.6185612505293436e-06
2177	5.0	collapse	collapse	2.765517780038473e-07	1.9289559287577496e-06
3492	0.5	collapse	collapse	3.346915343164708e-07	3.6290585145232798e-06
3492	1.0	collapse	collapse	3.234691965900117e-07	4.115168106568964e-06
3492	2.0	collapse	collapse	2.7495414130111746e-07	4.827330749870004e-06
3492	5.0	collapse	collapse	1.4060792645296265e-07	6.9235125599601426e-06
2177	0.5	collapse	collapse	1.9482542207088162e-07	1.3276835163158539e-06
2177	1.0	collapse	collapse	2.1042381680599237e-07	1.444695199498186e-06
2177	2.0	collapse	collapse	2.3415465025600983e-07	1.6185612505293436e-06
2177	5.0	collapse	collapse	2.765517780038473e-07	1.9289559287577496e-06
3492	0.5	collapse	collapse	3.346915343164708e-07	3.6290585145232798e-06
3492	1.0	collapse	collapse	3.234691965900117e-07	4.115168106568964e-06
3492	2.0	collapse	collapse	2.7495414130111746e-07	4.827330749870004e-06
3492	5.0	collapse	collapse	1.4060792645296265e-07	6.9235125599601426e-06
7483	0.5	collapse	collapse	1.061090548860767e-06	7.979136880761982e-06
7483	1.0	collapse	collapse	9.985696813578368e-07	7.486447057188478e-06
7483	2.0	collapse	collapse	9.098590506773193e-07	6.79156665462076e-06
7483	5.0	collapse	collapse	7.53726361005024e-07	5.584905392929432e-06
4578	0.5	collapse	collapse	3.268088079980723e-06	3.904907103721137e-05
4578	1.0	collapse	collapse	3.453048123228803e-06	4.125795566841178e-05
4578	2.0	collapse	collapse	3.6659351981649613e-06	4.380028549976993e-05
4578	5.0	collapse	collapse	3.957863752425393e-06	4.728640444154513e-05
3441	0.5	collapse	collapse	4.410522770490404e-06	0.0011416963048549913
3441	1.0	collapse	collapse	5.169352322793455e-06	0.0012743992649693577
3441	2.0	collapse	collapse	5.944110119599845e-06	0.0014031771122222036
3441	5.0	collapse	collapse	6.7069597954776184e-06	0.0015238388956229196
3441	0.5	collapse	collapse	4.410522770490404e-06	0.0011416963048549913
3441	1.0	collapse	collapse	5.169352322793455e-06	0.0012743992649693577
3441	2.0	collapse	collapse	5.944110119599845e-06	0.0014031771122222036
3441	5.0	collapse	collapse	6.7069597954776184e-06	0.0015238388956229196
7483	0.5	collapse	collapse	1.061090548860767e-06	7.979136880761982e-06
7483	1.0	collapse	collapse	9.985696813578368e-07	7.486447057188478e-06
7483	2.0	collapse	collapse	9.098590506773193e-07	6.79156665462076e-06
7483	5.0	collapse	collapse	7.53726361005024e-07	5.584905392929432e-06
