seed	original_regime	ablation_regime	N_active_TF_original	N_active_TF_ablation	mean_X_terminal_original	mean_X_terminal_ablation
546	collapse	collapse	0	0	3.052945025637166e-08	0.0001470532039118589
2026	steady	steady	6	4	1.8490521685099037	0.6213733387303269
2177	collapse	collapse	0	0	2.1042381680599237e-07	4.991805592004635e-06
3441	collapse	collapse	0	0	5.169352322793457e-06	2.295254228138515e-05
3492	collapse	collapse	0	0	3.234691965900116e-07	3.8882690234092224e-05
4094	steady	steady	6	6	1.1461864186318043	0.9931900479355086
4478	steady	steady	5	4	0.4936496950655577	0.4628740175092087
4578	collapse	collapse	0	0	3.4530481232288022e-06	0.0011489078947133117
6798	collapse	collapse	0	0	7.154848521247077e-09	0.006158241541661703
7483	collapse	collapse	0	0	9.985696813578368e-07	0.0003277628215449308
7709	steady	steady	6	6	1.2845605208312554	1.2022273919347746
