seed	condition	mean_TFinput_over_K	TF_retention_ratio	terminal_TFinput	mean_Hill_activation	N_active_TF	regime
546	original	0.12621253728866577	9.315392820175592e-05	6.408500041743537e-08	0.022560296580195427	0	collapse
2026	original	3.7120914459228516	0.03572185511865609	0.026904692873358727	0.5151464343070984	6	steady
2177	original	0.058529529720544815	0.0015950482461092727	1.4903271505772864e-07	0.01744312420487404	0	collapse
3441	original	0.6491967439651489	0.09062800098991013	4.919556886306964e-06	0.0730329304933548	0	collapse
3492	original	0.09242387115955353	0.0004935583125457569	8.685605479286096e-08	0.02333373948931694	0	collapse
4094	original	4.56272554397583	0.0321906443589294	0.027487363666296005	0.6149855256080627	6	steady
4478	original	1.2588773965835571	0.012337803121324573	0.008862905204296112	0.2854681611061096	6	steady
4578	original	0.2689763903617859	0.0020830055169189774	8.641937370157393e-07	0.04081239551305771	0	collapse
6798	original	0.11189969629049301	0.000300347638877872	7.210199726159772e-08	0.025787802413105965	0	collapse
7483	original	0.4088056683540344	0.027372732972860993	8.125105068756966e-07	0.07666070014238358	0	collapse
7709	original	2.287348508834839	0.029066685410728953	0.013934490270912647	0.5014668703079224	6	steady
546	projection_removed	0.19250920414924622	0.008383496778237466	4.2278957153030206e-06	0.041497014462947845	0	collapse
2026	projection_removed	3.2075765132904053	0.29908644603388235	0.009166384115815163	0.3876650333404541	5	steady
2177	projection_removed	0.09314259886741638	0.01697609203555284	9.619401453164755e-07	0.030550668016076088	0	collapse
3441	projection_removed	0.6241342425346375	0.14764455215913694	1.047178011504002e-05	0.07199006527662277	0	collapse
3492	projection_removed	0.10394911468029022	0.024572093482697344	8.851905022311257e-07	0.02798004262149334	0	collapse
4094	projection_removed	4.6268815994262695	0.4858237520348583	0.023967307060956955	0.5414742827415466	6	steady
4478	projection_removed	1.2349387407302856	0.3471893166907258	0.008509395644068718	0.265757292509079	6	steady
4578	projection_removed	0.9494698643684387	0.13231611316274544	1.75118420884246e-05	0.10107646882534027	1	collapse
6798	projection_removed	0.2678011655807495	0.012436933683226214	6.754240166628733e-05	0.05747484415769577	0	collapse
7483	projection_removed	0.7921751141548157	0.18714246705035353	1.3298133126227185e-05	0.14194118976593018	0	collapse
7709	projection_removed	2.2947566509246826	0.3191892925910462	0.013635087758302689	0.48863548040390015	6	steady
