seed	gamma	original_regime	scaled_regime	mean_X_terminal	mean_P_terminal
546	0.5	collapse	collapse	2.941936373240807e-08	3.0027924385739274e-07
546	1.0	collapse	collapse	3.0582401567279075e-08	3.2062342426177156e-07
546	2.0	collapse	collapse	3.170980437674998e-08	3.461993876279891e-07
546	5.0	collapse	collapse	3.231714330554559e-08	3.850739255131172e-07
6798	0.5	collapse	collapse	1.479803012725787e-08	2.8099473083608395e-06
6798	1.0	collapse	collapse	7.1078533324526564e-09	3.1080156143050287e-06
6798	2.0	collapse	collapse	2.8105476751680737e-09	3.539758259940157e-06
6798	5.0	collapse	collapse	6.912865072603796e-10	4.40625714199613e-06
3492	0.5	collapse	collapse	3.3876921333951506e-07	3.6691174087090146e-06
3492	1.0	collapse	collapse	3.264202723629771e-07	4.1494122935498074e-06
3492	2.0	collapse	collapse	2.7660598488976505e-07	4.853406740491105e-06
3492	5.0	collapse	collapse	1.411105416079837e-07	6.942099282964656e-06
2177	0.5	collapse	collapse	1.9221692326567955e-07	1.311429761430864e-06
2177	1.0	collapse	collapse	2.0827050702583343e-07	1.431219779631325e-06
2177	2.0	collapse	collapse	2.325805737141137e-07	1.6087383715957072e-06
2177	5.0	collapse	collapse	2.755758227853346e-07	1.9227917043337594e-06
4578	0.5	collapse	collapse	3.26990731666722e-06	3.9070796382420123e-05
4578	1.0	collapse	collapse	3.454322214192476e-06	4.127317115944791e-05
4578	2.0	collapse	collapse	3.6665868417215897e-06	4.380806632340096e-05
4578	5.0	collapse	collapse	3.958089430972687e-06	4.7289098602430766e-05
546	0.5	collapse	collapse	2.941936373240807e-08	3.0027924385739274e-07
546	1.0	collapse	collapse	3.0582401567279075e-08	3.2062342426177156e-07
546	2.0	collapse	collapse	3.170980437674998e-08	3.461993876279891e-07
546	5.0	collapse	collapse	3.231714330554559e-08	3.850739255131172e-07
6798	0.5	collapse	collapse	1.479803012725787e-08	2.8099473083608395e-06
6798	1.0	collapse	collapse	7.1078533324526564e-09	3.1080156143050287e-06
6798	2.0	collapse	collapse	2.8105476751680737e-09	3.539758259940157e-06
6798	5.0	collapse	collapse	6.912865072603796e-10	4.40625714199613e-06
2177	0.5	collapse	collapse	1.9221692326567955e-07	1.311429761430864e-06
2177	1.0	collapse	collapse	2.0827050702583343e-07	1.431219779631325e-06
2177	2.0	collapse	collapse	2.325805737141137e-07	1.6087383715957072e-06
2177	5.0	collapse	collapse	2.755758227853346e-07	1.9227917043337594e-06
3492	0.5	collapse	collapse	3.3876921333951506e-07	3.6691174087090146e-06
3492	1.0	collapse	collapse	3.264202723629771e-07	4.1494122935498074e-06
3492	2.0	collapse	collapse	2.7660598488976505e-07	4.853406740491105e-06
3492	5.0	collapse	collapse	1.411105416079837e-07	6.942099282964656e-06
7483	0.5	collapse	collapse	1.0615685722852854e-06	7.982936602688533e-06
7483	1.0	collapse	collapse	9.990132990339636e-07	7.489950500024718e-06
7483	2.0	collapse	collapse	9.101994060249479e-07	6.794241928743088e-06
7483	5.0	collapse	collapse	7.539137488098019e-07	5.586352588792324e-06
3441	0.5	collapse	collapse	4.3496513694138155e-06	0.0011308111912975926
3441	1.0	collapse	collapse	5.115580605196302e-06	0.0012653007425974649
3441	2.0	collapse	collapse	5.9001450839544145e-06	0.0013960671410608364
3441	5.0	collapse	collapse	6.681823571183817e-06	0.0015199319309454876
4578	0.5	collapse	collapse	3.26990731666722e-06	3.9070796382420123e-05
4578	1.0	collapse	collapse	3.454322214192476e-06	4.127317115944791e-05
4578	2.0	collapse	collapse	3.6665868417215897e-06	4.380806632340096e-05
4578	5.0	collapse	collapse	3.958089430972687e-06	4.7289098602430766e-05
3441	0.5	collapse	collapse	4.3496513694138155e-06	0.0011308111912975926
3441	1.0	collapse	collapse	5.115580605196302e-06	0.0012653007425974649
3441	2.0	collapse	collapse	5.9001450839544145e-06	0.0013960671410608364
3441	5.0	collapse	collapse	6.681823571183817e-06	0.0015199319309454876
7483	0.5	collapse	collapse	1.0615685722852854e-06	7.982936602688533e-06
7483	1.0	collapse	collapse	9.990132990339636e-07	7.489950500024718e-06
7483	2.0	collapse	collapse	9.101994060249479e-07	6.794241928743088e-06
7483	5.0	collapse	collapse	7.539137488098019e-07	5.586352588792324e-06
