seed	original_regime	ablation_regime	N_active_TF_original	N_active_TF_ablation	mean_X_terminal_original	mean_X_terminal_ablation
546	collapse	collapse	0	0	3.0582401567279075e-08	0.0001470532039118589
2026	steady	steady	6	4	1.8490521682536507	0.6213733387303269
2177	collapse	collapse	0	0	2.0827050702583346e-07	4.991805592004635e-06
3441	collapse	collapse	0	0	5.115580605196302e-06	2.295254228138515e-05
3492	collapse	collapse	0	0	3.264202723629771e-07	3.8882690234092224e-05
4094	steady	steady	6	6	1.1461864186318083	0.9931900479355086
4478	steady	steady	5	4	0.49364949705327826	0.4628740175092087
4578	collapse	collapse	0	0	3.454322214192476e-06	0.0011489078947133117
6798	collapse	collapse	0	0	7.1078533324526564e-09	0.006158241541661703
7483	collapse	collapse	0	0	9.990132990339636e-07	0.0003277628215449308
7709	steady	steady	6	6	1.284560520827717	1.2022273919347746
