# Trajectory Comparison Table
# Perturbation Time: t=50
# Target Gene: 4
# Perturbation Type: KD
# Time Points: 50 to 59 (T_perturb=50)
# Format: Two rows per gene (baseline, perturbed)
gene_type	gene_id	type	t=50	t=51	t=52	t=53	t=54	t=55	t=56	t=57	t=58	t=59
TF	0	baseline	0.0241	0.0241	0.0241	0.0241	0.0241	0.0241	0.0241	0.0241	0.0241	0.0241
TF	0	perturbed	0.0241	0.0241	0.0243	0.0242	0.0242	0.0241	0.0241	0.0241	0.0241	0.0241
TF	1	baseline	0.0361	0.0361	0.0361	0.0361	0.0361	0.0361	0.0361	0.0361	0.0361	0.0361
TF	1	perturbed	0.0361	0.0361	0.0365	0.0364	0.0362	0.0362	0.0361	0.0361	0.0361	0.0361
TF	2	baseline	0.0231	0.0231	0.0231	0.0231	0.0231	0.0231	0.0231	0.0231	0.0231	0.0231
TF	2	perturbed	0.0231	0.0231	0.0232	0.0232	0.0232	0.0231	0.0231	0.0231	0.0231	0.0231
TF	3	baseline	0.0237	0.0237	0.0237	0.0237	0.0237	0.0237	0.0237	0.0237	0.0237	0.0237
TF	3	perturbed	0.0237	0.0237	0.0239	0.0239	0.0238	0.0237	0.0237	0.0237	0.0237	0.0237
TF	4	baseline	0.0481	0.0481	0.0481	0.0481	0.0481	0.0482	0.0482	0.0482	0.0482	0.0482
TF	4	perturbed	0.0241	0.0479	0.0486	0.0485	0.0484	0.0483	0.0483	0.0482	0.0482	0.0482
TF	5	baseline	0.0244	0.0244	0.0244	0.0244	0.0244	0.0244	0.0244	0.0244	0.0244	0.0244
TF	5	perturbed	0.0244	0.0244	0.0249	0.0248	0.0247	0.0247	0.0246	0.0246	0.0245	0.0245
RBP	6	baseline	0.0108	0.0108	0.0108	0.0108	0.0108	0.0108	0.0108	0.0108	0.0108	0.0108
RBP	6	perturbed	0.0108	0.0108	0.0109	0.0109	0.0108	0.0108	0.0108	0.0108	0.0108	0.0108
RBP	7	baseline	0.0086	0.0086	0.0086	0.0086	0.0086	0.0086	0.0086	0.0086	0.0086	0.0086
RBP	7	perturbed	0.0086	0.0086	0.0077	0.0079	0.0081	0.0083	0.0084	0.0085	0.0086	0.0086
RBP	8	baseline	0.0022	0.0022	0.0022	0.0022	0.0022	0.0022	0.0022	0.0022	0.0022	0.0022
RBP	8	perturbed	0.0022	0.0022	0.0022	0.0022	0.0022	0.0022	0.0022	0.0022	0.0022	0.0022
RBP	9	baseline	0.0249	0.0249	0.0249	0.0249	0.0249	0.0249	0.0249	0.0249	0.0249	0.0249
RBP	9	perturbed	0.0249	0.0249	0.0251	0.0250	0.0250	0.0249	0.0249	0.0249	0.0249	0.0249
RBP	10	baseline	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003	0.0003
