# Trajectory Comparison Table
# Perturbation Time: t=5
# Target Gene: 0
# Perturbation Type: OE
# Time Points: 5 to 14 (T_perturb=5)
# Format: Two rows per gene (baseline, perturbed)
gene_type	gene_id	type	t=5	t=6	t=7	t=8	t=9	t=10	t=11	t=12	t=13	t=14
TF	0	baseline	0.0567	0.0511	0.0440	0.0375	0.0322	0.0279	0.0243	0.0214	0.0190	0.0169
TF	0	perturbed	0.1133	0.0521	0.0418	0.0361	0.0311	0.0270	0.0237	0.0209	0.0185	0.0164
TF	1	baseline	0.0014	0.0008	0.0004	0.0002	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
TF	1	perturbed	0.0014	0.0008	0.0004	0.0002	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
TF	2	baseline	0.0012	0.0008	0.0005	0.0003	0.0002	0.0001	0.0001	0.0000	0.0000	0.0000
TF	2	perturbed	0.0012	0.0008	0.0005	0.0003	0.0002	0.0001	0.0001	0.0000	0.0000	0.0000
TF	3	baseline	0.0066	0.0051	0.0040	0.0031	0.0024	0.0019	0.0015	0.0012	0.0009	0.0007
TF	3	perturbed	0.0066	0.0051	0.0038	0.0030	0.0023	0.0018	0.0015	0.0012	0.0009	0.0007
TF	4	baseline	0.0197	0.0230	0.0246	0.0238	0.0210	0.0175	0.0140	0.0110	0.0085	0.0066
TF	4	perturbed	0.0197	0.0229	0.0386	0.0341	0.0273	0.0215	0.0166	0.0127	0.0097	0.0073
TF	5	baseline	0.0141	0.0099	0.0071	0.0051	0.0038	0.0028	0.0021	0.0016	0.0012	0.0010
TF	5	perturbed	0.0141	0.0099	0.0068	0.0050	0.0037	0.0027	0.0021	0.0016	0.0012	0.0009
RBP	6	baseline	0.0319	0.0346	0.0365	0.0373	0.0371	0.0361	0.0344	0.0324	0.0302	0.0280
RBP	6	perturbed	0.0319	0.0346	0.0360	0.0372	0.0368	0.0356	0.0339	0.0318	0.0296	0.0274
RBP	7	baseline	0.0632	0.0637	0.0625	0.0592	0.0540	0.0479	0.0415	0.0356	0.0303	0.0257
RBP	7	perturbed	0.0632	0.0636	0.0593	0.0570	0.0521	0.0462	0.0401	0.0343	0.0292	0.0247
RBP	8	baseline	0.0418	0.0450	0.0507	0.0579	0.0663	0.0755	0.0850	0.0939	0.1015	0.1071
RBP	8	perturbed	0.0418	0.0449	0.0481	0.0558	0.0658	0.0765	0.0873	0.0979	0.1072	0.1143
RBP	9	baseline	0.0021	0.0015	0.0011	0.0008	0.0007	0.0006	0.0005	0.0004	0.0003	0.0002
RBP	9	perturbed	0.0021	0.0015	0.0010	0.0008	0.0008	0.0008	0.0007	0.0006	0.0005	0.0004
RBP	10	baseline	0.0056	0.0039	0.0027	0.0019	0.0014	0.0010	0.0008	0.0006	0.0004	0.0003
RBP	10	perturbed	0.0056	0.0039	0.0026	0.0019	0.0014	0.0010	0.0008	0.0006	0.0004	0.0003
Kinase	11	baseline	0.0277	0.0273	0.0257	0.0236	0.0215	0.0197	0.0181	0.0167	0.0155	0.0145
