seed	gene_id	gene_type	terminal_mean_P_baseline	terminal_mean_P_ko	Δmean_P_terminal	deviation_score	baseline_regime	ko_regime	transition_type
20	0	TF	0.01999999999999996	9.23417157152877e-09	-0.019999990765828386	1.1661084990453723	steady	collapse-like	steady->collapse-like
20	1	TF	0.01999999999999996	3.4044694998319258e-09	-0.019999996595530457	1.1494614324015482	steady	collapse-like	steady->collapse-like
20	2	TF	0.01999999999999996	0.019999999999999993	3.469446951953614e-17	1.2737877165687954	steady	steady	steady->steady
20	3	TF	0.01999999999999996	0.01999999999999998	2.0816681711721685e-17	0.8710397941214639	steady	steady	steady->steady
20	4	TF	0.01999999999999996	0.0003835838998732808	-0.01961641610012668	1.3904583697446515	steady	collapse-like	steady->collapse-like
20	5	TF	0.01999999999999996	7.585201998422227e-09	-0.01999999241479796	1.1748183385258468	steady	collapse-like	steady->collapse-like
20	17	EPI	0.01999999999999996	0.019999999999999952	-6.938893903907228e-18	0.010995518122485323	steady	steady	steady->steady
20	18	EPI	0.01999999999999996	0.019999999999999962	3.469446951953614e-18	0.007729942491319386	steady	steady	steady->steady
20	19	EPI	0.01999999999999996	0.01999999999999995	-1.0408340855860843e-17	0.004219170133240975	steady	steady	steady->steady
23	0	TF	0.01999999999999996	1.217922307491648e-10	-0.01999999987820773	1.000680111179068	steady	collapse-like	steady->collapse-like
23	1	TF	0.01999999999999996	1.1818380474487739e-08	-0.019999988181619483	0.9747516565733375	steady	collapse-like	steady->collapse-like
23	2	TF	0.01999999999999996	1.8029192717113732e-10	-0.01999999981970803	1.0588212642924804	steady	collapse-like	steady->collapse-like
23	3	TF	0.01999999999999996	2.4274530375321728e-08	-0.019999975725469583	0.9403777022174743	steady	collapse-like	steady->collapse-like
23	4	TF	0.01999999999999996	3.664667336638743e-11	-0.019999999963353287	1.015579133759196	steady	collapse-like	steady->collapse-like
23	5	TF	0.01999999999999996	6.850477809426787e-11	-0.01999999993149518	0.9946684922397453	steady	collapse-like	steady->collapse-like
23	17	EPI	0.01999999999999996	0.01999999999999996	0.0	0.12217117528553156	steady	steady	steady->steady
23	18	EPI	0.01999999999999996	0.01999999999999997	1.0408340855860843e-17	0.04760502625033915	steady	steady	steady->steady
23	19	EPI	0.01999999999999996	0.01999999999999996	0.0	0.0012797887782989088	steady	steady	steady->steady
29	0	TF	0.019999999999999955	3.018075523529986e-06	-0.019996981924476426	1.0974411329154998	steady	collapse-like	steady->collapse-like
29	1	TF	0.019999999999999955	6.663566811378153e-05	-0.019933364331886173	1.0509884501192674	steady	collapse-like	steady->collapse-like
29	2	TF	0.019999999999999955	2.1101137728550818e-06	-0.0199978898862271	1.1302400985479366	steady	collapse-like	steady->collapse-like
29	3	TF	0.019999999999999955	0.019999999999999966	1.0408340855860843e-17	0.8143902155087436	steady	steady	steady->steady
29	4	TF	0.019999999999999955	9.033644995682124e-07	-0.019999096635500386	1.0805170730824554	steady	collapse-like	steady->collapse-like
29	5	TF	0.019999999999999955	3.249168903350485e-10	-0.019999999675083063	1.0891017693096243	steady	collapse-like	steady->collapse-like
29	17	EPI	0.019999999999999955	0.01999999999999996	3.469446951953614e-18	0.002504941849637659	steady	steady	steady->steady
29	18	EPI	0.019999999999999955	0.01999999999999995	-6.938893903907228e-18	0.014762306830544202	steady	steady	steady->steady
29	19	EPI	0.019999999999999955	0.01999999999999996	3.469446951953614e-18	0.025839802678958124	steady	steady	steady->steady
33	0	TF	0.00015111881542711082	1.7150748579457062e-06	-0.00014940374056916512	0.8617555836595487	collapse-like	collapse-like	collapse-like->collapse-like
33	1	TF	0.00015111881542711082	1.6955388794495278e-06	-0.0001494232765476613	0.9291498917540084	collapse-like	collapse-like	collapse-like->collapse-like
33	2	TF	0.00015111881542711082	6.710331450017936e-06	-0.0001444084839770929	0.5184289170090766	collapse-like	collapse-like	collapse-like->collapse-like
33	3	TF	0.00015111881542711082	0.019999999999999987	0.019848881184572877	0.8666845767320384	collapse-like	steady	collapse-like->steady
33	4	TF	0.00015111881542711082	2.6643076768815355e-06	-0.00014845450775022927	1.0419150690234151	collapse-like	collapse-like	collapse-like->collapse-like
33	5	TF	0.00015111881542711082	7.14952460500892e-06	-0.0001439692908221019	0.537524332116888	collapse-like	collapse-like	collapse-like->collapse-like
33	17	EPI	0.00015111881542711082	0.00034636733743496505	0.00019524852200785423	0.36483231073199923	collapse-like	collapse-like	collapse-like->collapse-like
33	18	EPI	0.00015111881542711082	0.00015178196338527867	6.631479581678567e-07	0.0023446394259242016	collapse-like	collapse-like	collapse-like->collapse-like
33	19	EPI	0.00015111881542711082	0.00021803905497884836	6.692023955173754e-05	0.09704536303043805	collapse-like	collapse-like	collapse-like->collapse-like
49	0	TF	2.2493308290492686e-05	3.6047351608078314e-11	-2.249327224314108e-05	0.7151935142727343	collapse-like	collapse-like	collapse-like->collapse-like
49	1	TF	2.2493308290492686e-05	1.8183315724005056e-11	-2.2493290107176962e-05	0.6291602698655527	collapse-like	collapse-like	collapse-like->collapse-like
49	2	TF	2.2493308290492686e-05	4.413007694037284e-09	-2.248889528279865e-05	0.576867558776394	collapse-like	collapse-like	collapse-like->collapse-like
49	3	TF	2.2493308290492686e-05	3.4172586915208067e-09	-2.2489891031801166e-05	0.5643006663782545	collapse-like	collapse-like	collapse-like->collapse-like
49	4	TF	2.2493308290492686e-05	4.0277287195160955e-11	-2.249326801320549e-05	0.6482619493451038	collapse-like	collapse-like	collapse-like->collapse-like
49	5	TF	2.2493308290492686e-05	1.7482749947985843e-13	-2.2493308115665187e-05	0.6159852829228544	collapse-like	collapse-like	collapse-like->collapse-like
49	17	EPI	2.2493308290492686e-05	0.00034195195805521107	0.0003194586497647184	0.36175023940518236	collapse-like	collapse-like	collapse-like->collapse-like
49	18	EPI	2.2493308290492686e-05	0.01999999999999996	0.019977506691709467	0.7353452597500998	collapse-like	steady	collapse-like->steady
49	19	EPI	2.2493308290492686e-05	2.4436334855662104e-05	1.943026565169418e-06	0.012986367005495977	collapse-like	collapse-like	collapse-like->collapse-like
52	0	TF	0.01999999999999996	2.8995382770774616e-09	-0.019999997100461683	1.0295329198662135	steady	collapse-like	steady->collapse-like
52	1	TF	0.01999999999999996	2.1648924756834497e-05	-0.019978351075243123	1.1345132840509156	steady	collapse-like	steady->collapse-like
52	2	TF	0.01999999999999996	1.5264859459053265e-06	-0.019998473514054052	1.1562177158641151	steady	collapse-like	steady->collapse-like
52	3	TF	0.01999999999999996	6.690277418586064e-07	-0.0199993309722581	1.0488302024776832	steady	collapse-like	steady->collapse-like
52	4	TF	0.01999999999999996	9.282567087580705e-07	-0.0199990717432912	1.1260326173810427	steady	collapse-like	steady->collapse-like
52	5	TF	0.01999999999999996	6.934965186454463e-05	-0.019930650348135414	1.0700908574595658	steady	collapse-like	steady->collapse-like
52	17	EPI	0.01999999999999996	0.01999999999999997	1.0408340855860843e-17	0.023402253031880142	steady	steady	steady->steady
52	18	EPI	0.01999999999999996	0.01999999999999996	0.0	0.029935484096246846	steady	steady	steady->steady
52	19	EPI	0.01999999999999996	0.01999999999999996	0.0	0.12771135515290905	steady	steady	steady->steady
