seed	gene_id	lambda	regime	mean_P_terminal	delta_mean_P_terminal	baseline_regime
2026	0	0.5	steady	0.02	5.204170427930421e-19	steady
2026	0	0.1	collapse-like	4.530962547111031e-07	-0.01999954690374529	steady
2026	1	0.5	collapse-like	3.6190387560937255e-08	-0.019999963809612442	steady
2026	1	0.1	collapse-like	9.073138149792927e-09	-0.019999990926861853	steady
2026	2	0.5	collapse-like	5.854038020074202e-08	-0.019999941459619797	steady
2026	2	0.1	collapse-like	2.5227969013899576e-10	-0.019999999747720314	steady
2026	3	0.5	steady	0.02	5.898059818321145e-19	steady
2026	3	0.1	collapse-like	1.094788502561413e-07	-0.019999890521149744	steady
2026	4	0.5	collapse-like	1.4336040362567715e-09	-0.01999999856639597	steady
2026	4	0.1	collapse-like	1.0539871814993236e-10	-0.019999999894601283	steady
2026	5	0.5	collapse-like	7.834498564112782e-07	-0.01999921655014359	steady
2026	5	0.1	collapse-like	2.3798674843380725e-08	-0.01999997620132516	steady
4094	0	0.5	steady	0.019999999999999997	-5.689893001203927e-18	steady
4094	0	0.1	steady	0.02	-2.359223927328458e-18	steady
4094	1	0.5	steady	0.019999999999999997	-6.2103100439969695e-18	steady
4094	1	0.1	steady	0.019999999999999997	-7.424616477180735e-18	steady
4094	2	0.5	steady	0.02	-4.544975507059235e-18	steady
4094	2	0.1	steady	0.020000000000000004	1.8735013540549518e-18	steady
4094	3	0.5	steady	0.019999999999999997	-5.082739784612045e-18	steady
4094	3	0.1	steady	0.02	-6.175615574477433e-18	steady
4094	4	0.5	steady	0.02	-1.8041124150158794e-18	steady
4094	4	0.1	steady	0.020000000000000004	-9.71445146547012e-19	steady
4094	5	0.5	steady	0.019999999999999997	-6.990935608186533e-18	steady
4094	5	0.1	steady	0.02	-5.551115123125783e-18	steady
4478	0	0.5	collapse-like	2.1863755746696139e-07	-0.019999781362442532	steady
4478	0	0.1	collapse-like	2.3582923615413567e-09	-0.01999999764170764	steady
4478	1	0.5	steady	0.019999999999999997	-4.510281037539699e-19	steady
4478	1	0.1	steady	0.02	-1.3877787807814457e-19	steady
4478	2	0.5	steady	0.02	-1.3877787807814457e-19	steady
4478	2	0.1	steady	0.02	8.326672684688674e-19	steady
4478	3	0.5	collapse-like	1.342386121958121e-05	-0.01998657613878042	steady
4478	3	0.1	collapse-like	8.318883678823934e-08	-0.019999916811163213	steady
4478	4	0.5	steady	0.02	2.7755575615628914e-19	steady
4478	4	0.1	collapse-like	3.5741249364787264e-08	-0.019999964258750634	steady
4478	5	0.5	steady	0.02	-7.806255641895632e-20	steady
4478	5	0.1	steady	0.019999999999999997	-2.0816681711721684e-19	steady
7709	0	0.5	steady	0.02	3.677613769070831e-18	steady
7709	0	0.1	collapse-like	1.4560775927411258e-09	-0.0199999985439224	steady
7709	1	0.5	collapse-like	5.427434750883305e-08	-0.019999945725652488	steady
7709	1	0.1	collapse-like	3.4116158442887267e-09	-0.019999996588384153	steady
7709	2	0.5	collapse-like	1.7089755187107607e-08	-0.01999998291024481	steady
7709	2	0.1	collapse-like	1.4951910972326828e-09	-0.0199999985048089	steady
7709	3	0.5	steady	0.019999999999999993	-6.938893903907229e-19	steady
7709	3	0.1	collapse-like	6.92916423324746e-07	-0.01999930708357667	steady
7709	4	0.5	steady	0.019999999999999997	3.5388358909926865e-18	steady
7709	4	0.1	collapse-like	6.244095174229045e-09	-0.019999993755904822	steady
7709	5	0.5	steady	0.02	4.0505793164058445e-18	steady
7709	5	0.1	collapse-like	9.04257312394229e-09	-0.019999990957426873	steady
