seed	gene_id	degree	TFinput_over_K	hill_activation	hill_slope	collapse_0.5	collapse_0.1
2026	0	13	2.8913	0.8932	0.066	False	True
2026	1	19	1.3926	0.6598	0.3224	True	True
2026	2	19	0.5259	0.2166	0.6454	True	True
2026	3	15	0.609	0.2705	0.6481	False	True
2026	4	19	2.8618	0.8912	0.0678	True	True
2026	5	14	0.376	0.1238	0.5772	True	True
4094	0	20	17.6884	0.9968	0.0004	False	False
4094	1	19	3.6712	0.9309	0.035	False	False
4094	2	17	6.5724	0.9774	0.0067	False	False
4094	3	17	5.904	0.9721	0.0092	False	False
4094	4	14	2.094	0.8143	0.1444	False	False
4094	5	14	0.6932	0.3245	0.6325	False	False
4478	0	18	3.0608	0.9036	0.0569	True	True
4478	1	10	0.7457	0.3573	0.6159	False	False
4478	2	12	0.8522	0.4207	0.572	False	False
4478	3	19	0.194	0.0363	0.3604	True	True
4478	4	20	0.384	0.1285	0.5833	False	True
4478	5	19	0.1505	0.0222	0.2879	False	False
7709	0	16	0.8459	0.4171	0.5748	False	True
7709	1	20	1.3598	0.649	0.335	True	True
7709	2	21	1.4487	0.6773	0.3018	True	True
7709	3	17	1.4988	0.692	0.2844	False	True
7709	4	14	0.5904	0.2585	0.6493	False	True
7709	5	15	0.8294	0.4075	0.5822	False	True
