world_seed	cell_seed	time	gene_id	X	P
1015	1067	0	0	0.35084227	0.35084227
1015	1067	0	1	0.80892537	0.80892537
1015	1067	0	2	0.16680531	0.16680531
1015	1067	0	3	0.66114744	0.66114744
1015	1067	0	4	0.66113654	0.66113654
1015	1067	0	5	0.35399857	0.35399857
1015	1067	0	6	0.39273857	0.39273857
1015	1067	0	7	0.75516877	0.75516877
1015	1067	0	8	0.21567775	0.21567775
1015	1067	0	9	0.70788313	0.70788313
1015	1067	0	10	0.36887435	0.36887435
1015	1067	0	11	0.15303506	0.15303506
1015	1067	0	12	0.23895810	0.23895810
1015	1067	0	13	0.50073273	0.50073273
1015	1067	0	14	0.60505677	0.60505677
1015	1067	0	15	0.26451745	0.26451745
1015	1067	0	16	0.10874968	0.10874968
1015	1067	0	17	0.13099139	0.13099139
1015	1067	0	18	0.95994994	0.95994994
1015	1067	0	19	0.28140768	0.28140768
1015	1067	1	0	0.20426004	0.64747678
1015	1067	1	1	0.43453305	1.50224823
1015	1067	1	2	2.00772685	0.29539454
1015	1067	1	3	2.27934841	1.09256056
1015	1067	1	4	1.55145506	1.20126590
1015	1067	1	5	1.49465854	0.61600027
1015	1067	1	6	1.36319412	0.63503656
1015	1067	1	7	0.64951786	1.28709818
1015	1067	1	8	0.23019286	0.39088075
1015	1067	1	9	0.58619175	1.29347342
1015	1067	1	10	0.86034833	0.62154029
1015	1067	1	11	0.20114258	0.26079718
1015	1067	1	12	2.02113479	0.40195986
1015	1067	1	13	0.25935606	0.88302478
1015	1067	1	14	0.58722021	1.10470504
1015	1067	1	15	1.77066004	0.48649870
1015	1067	1	16	0.10004071	0.18152286
1015	1067	1	17	1.31988420	0.21841249
1015	1067	1	18	2.30793109	1.73638686
1015	1067	1	19	0.25524124	0.46958005
1015	1067	2	0	0.12458772	0.75169680
1015	1067	2	1	0.29236847	1.72209686
1015	1067	2	2	3.18469056	2.23544476
1015	1067	2	3	3.62471288	2.99226799
1015	1067	2	4	1.86003676	2.53285443
1015	1067	2	5	2.42517663	1.95057316
1015	1067	2	6	2.20421238	1.75497658
1015	1067	2	7	0.62706390	1.55613029
1015	1067	2	8	0.30906312	0.54771972
1015	1067	2	9	0.62303786	1.65620662
1015	1067	2	10	1.15893046	1.28608154
1015	1067	2	11	0.34812621	0.38478713
1015	1067	2	12	3.38592286	2.29532580
1015	1067	2	13	0.14073850	0.93351481
1015	1067	2	14	0.67211481	1.49947173
1015	1067	2	15	2.55856401	2.17892644
1015	1067	2	16	0.12296641	0.22151231
1015	1067	2	17	1.91734419	1.46564846
1015	1067	2	18	2.95112746	3.71237397
1015	1067	2	19	0.25869199	0.56924118
1015	1067	3	0	0.32955264	0.76014172
1015	1067	3	1	0.24239221	1.76836262
1015	1067	3	2	3.98843469	4.90798172
