world_seed	cell_seed	time	gene_id	X	P
1008	1046	0	0	0.61406242	0.61406242
1008	1046	0	1	0.11594840	0.11594840
1008	1046	0	2	0.52100442	0.52100442
1008	1046	0	3	0.29316299	0.29316299
1008	1046	0	4	0.73506326	0.73506326
1008	1046	0	5	0.78977143	0.78977143
1008	1046	0	6	0.19872076	0.19872076
1008	1046	0	7	0.77696115	0.77696115
1008	1046	0	8	0.78860274	0.78860274
1008	1046	0	9	0.35305367	0.35305367
1008	1046	0	10	0.41185905	0.41185905
1008	1046	0	11	0.29533400	0.29533400
1008	1046	0	12	0.18546434	0.18546434
1008	1046	0	13	0.87215580	0.87215580
1008	1046	0	14	0.25971916	0.25971916
1008	1046	0	15	0.43159872	0.43159872
1008	1046	0	16	0.33357735	0.33357735
1008	1046	0	17	0.38723372	0.38723372
1008	1046	0	18	0.08458502	0.08458502
1008	1046	0	19	0.53436387	0.53436387
1008	1046	1	0	0.49942815	1.09579179
1008	1046	1	1	0.09331479	0.21930705
1008	1046	1	2	0.62860418	1.01371932
1008	1046	1	3	0.55297331	0.49897264
1008	1046	1	4	1.23714507	1.25079534
1008	1046	1	5	1.15547123	1.48371943
1008	1046	1	6	0.44002802	0.36795791
1008	1046	1	7	0.43947421	1.45615544
1008	1046	1	8	0.50614017	1.45437043
1008	1046	1	9	0.21487178	0.64089789
1008	1046	1	10	0.94271308	0.74557898
1008	1046	1	11	0.19188886	0.51241140
1008	1046	1	12	0.78784039	0.35116399
1008	1046	1	13	0.56384146	1.64489896
1008	1046	1	14	0.20707073	0.47824738
1008	1046	1	15	0.61583608	0.82005955
1008	1046	1	16	0.26384224	0.60421954
1008	1046	1	17	0.75098698	0.74497505
1008	1046	1	18	0.34304779	0.16065858
1008	1046	1	19	0.42433156	0.92156920
1008	1046	2	0	0.52500982	1.35907217
1008	1046	2	1	0.10607499	0.28880935
1008	1046	2	2	0.70904681	1.58728052
1008	1046	2	3	0.56657142	0.90326781
1008	1046	2	4	1.63836714	2.11472299
1008	1046	2	5	1.33154283	2.45917009
1008	1046	2	6	0.62921991	0.75339312
1008	1046	2	7	0.26917809	1.71239816
1008	1046	2	8	0.35236652	1.73397363
1008	1046	2	9	0.13310816	0.73739504
1008	1046	2	10	1.13758693	1.54683860
1008	1046	2	11	0.12681632	0.56852322
1008	1046	2	12	1.30614589	1.10158129
1008	1046	2	13	0.41622156	2.02124668
1008	1046	2	14	0.17841458	0.60946903
1008	1046	2	15	0.68093000	1.35393144
1008	1046	2	16	0.26450672	0.75406530
1008	1046	2	17	0.90296157	1.43922344
1008	1046	2	18	0.54572614	0.48753992
1008	1046	2	19	0.40224048	1.09210967
1008	1046	3	0	0.64956352	1.59119619
1008	1046	3	1	0.13256230	0.36352525
1008	1046	3	2	0.76886285	2.21014110
1008	1046	3	3	0.47052338	1.20069387
1008	1046	3	4	1.93771690	3.12209044
1008	1046	3	5	1.41048252	3.49234033
1008	1046	3	6	0.76267466	1.27083436
1008	1046	3	7	0.22699046	1.76610114
1008	1046	3	8	0.31382534	1.81625138
1008	1046	3	9	0.08557958	0.73430544
1008	1046	3	10	1.19214452	2.39095471
1008	1046	3	11	0.09077649	0.54469418
1008	1046	3	12	1.72600032	2.29033309
1008	1046	3	13	0.39329570	2.20707653
1008	1046	3	14	0.16519420	0.69122305
1008	1046	3	15	0.69893856	1.89953727
1008	1046	3	16	0.30019941	0.87630453
1008	1046	3	17	0.95297074	2.23257127
1008	1046	3	18	0.70541372	0.98420683
1008	1046	3	19	0.42240120	1.19359390
1008	1046	4	0	0.81255261	1.89785020
1008	1046	4	1	0.16642937	0.45661576
1008	1046	4	2	0.81256633	2.85899762
1008	1046	4	3	0.35653166	1.31344829
1008	1046	4	4	2.15378262	4.12822524
1008	1046	4	5	1.42539746	4.47909509
1008	1046	4	6	0.85201390	1.84495916
1008	1046	4	7	0.25259489	1.77085891
1008	1046	4	8	0.33046495	1.84717212
1008	1046	4	9	0.05956635	0.68425790
1008	1046	4	10	1.16965753	3.12948019
1008	1046	4	11	0.07373025	0.49113945
