world_seed	cell_seed	time	gene_id	X	P
1000	1021	0	0	0.17054078	0.17054078
1000	1021	0	1	0.72407620	0.72407620
1000	1021	0	2	0.62482062	0.62482062
1000	1021	0	3	0.88464638	0.88464638
1000	1021	0	4	0.04974998	0.04974998
1000	1021	0	5	0.37529651	0.37529651
1000	1021	0	6	0.89511453	0.89511453
1000	1021	0	7	0.00324411	0.00324411
1000	1021	0	8	0.24913362	0.24913362
1000	1021	0	9	0.93186337	0.93186337
1000	1021	0	10	0.68524459	0.68524459
1000	1021	0	11	0.83518503	0.83518503
1000	1021	0	12	0.54638879	0.54638879
1000	1021	0	13	0.32221020	0.32221020
1000	1021	0	14	0.31163171	0.31163171
1000	1021	0	15	0.63342545	0.63342545
1000	1021	0	16	0.70395880	0.70395880
1000	1021	0	17	0.53596794	0.53596794
1000	1021	0	18	0.56219399	0.56219399
1000	1021	0	19	0.47705308	0.47705308
1000	1021	1	0	0.13499322	0.32077107
1000	1021	1	1	0.61090628	1.37556660
1000	1021	1	2	0.83971804	1.12788247
1000	1021	1	3	0.94596282	1.65191690
1000	1021	1	4	0.54921485	0.08728055
1000	1021	1	5	0.98239113	0.69109248
1000	1021	1	6	0.96155062	1.66194414
1000	1021	1	7	0.16466570	0.00594217
1000	1021	1	8	0.34158811	0.45576490
1000	1021	1	9	0.78743039	1.54422186
1000	1021	1	10	0.79000099	1.13292120
1000	1021	1	11	0.65978324	1.43343749
1000	1021	1	12	0.61695930	1.01219100
1000	1021	1	13	0.29193883	0.59500719
1000	1021	1	14	0.28042008	0.51605597
1000	1021	1	15	1.02243465	1.04775784
1000	1021	1	16	0.49123668	1.17122080
1000	1021	1	17	0.53788326	1.00406498
1000	1021	1	18	1.21754187	1.01267983
1000	1021	1	19	0.40291823	0.79382142
1000	1021	2	0	0.17542940	0.41756219
1000	1021	2	1	0.52794832	1.84857772
1000	1021	2	2	0.99633761	1.74781011
1000	1021	2	3	0.90859870	2.37870156
1000	1021	2	4	0.67682952	0.61505787
1000	1021	2	5	1.41500057	1.56391592
1000	1021	2	6	0.89048774	2.38531030
1000	1021	2	7	0.40433305	0.16960767
1000	1021	2	8	0.55992929	0.71959926
1000	1021	2	9	0.72106984	1.80219004
1000	1021	2	10	0.86926818	1.53014887
1000	1021	2	11	0.57638694	1.68657068
1000	1021	2	12	0.60801699	1.47986279
1000	1021	2	13	0.28519396	0.79569747
1000	1021	2	14	0.29701466	0.61894263
1000	1021	2	15	1.31908155	1.70778763
1000	1021	2	16	0.34703295	1.26865004
1000	1021	2	17	0.53746686	1.41480110
1000	1021	2	18	1.71455053	2.02900185
1000	1021	2	19	0.34394339	0.93002412
1000	1021	3	0	0.28688588	0.54326218
1000	1021	3	1	0.46940490	2.19121338
1000	1021	3	2	1.10542920	2.40355205
1000	1021	3	3	0.79577944	2.97169151
1000	1021	3	4	0.64460366	1.14081912
1000	1021	3	5	1.72265366	2.73096900
1000	1021	3	6	0.76639599	2.93394310
1000	1021	3	7	0.61636128	0.54539203
1000	1021	3	8	0.82811443	1.15676450
1000	1021	3	9	0.71642705	1.90534899
1000	1021	3	10	0.92896287	1.86892856
1000	1021	3	11	0.57258415	1.78449653
1000	1021	3	12	0.55317641	1.86961562
1000	1021	3	13	0.31311081	0.95886562
1000	1021	3	14	0.34730623	0.70302883
1000	1021	3	15	1.54244650	2.43616919
1000	1021	3	16	0.25028561	1.18911626
1000	1021	3	17	0.53569238	1.77310832
1000	1021	3	18	2.09056094	3.34038900
1000	1021	3	19	0.29758773	0.96148933
1000	1021	4	0	0.43505447	0.76544846
1000	1021	4	1	0.43778551	2.44095774
1000	1021	4	2	1.18020183	3.04060118
1000	1021	4	3	0.65472723	3.37318363
1000	1021	4	4	0.56668703	1.50521895
1000	1021	4	5	1.93913596	4.02064739
1000	1021	4	6	0.64102519	3.27985586
1000	1021	4	7	0.77370887	1.06995188
1000	1021	4	8	1.09903452	1.78753424
1000	1021	4	9	0.75172504	1.96849538
1000	1021	4	10	0.97267758	2.14995115
1000	1021	4	11	0.61941683	1.85083914
1000	1021	4	12	0.48530789	2.14704343
1000	1021	4	13	0.37758710	1.12492762
1000	1021	4	14	0.44190641	0.80847929
1000	1021	4	15	1.69219648	3.13597866
1000	1021	4	16	0.18882454	1.03957732
1000	1021	4	17	0.53208601	2.08426776
1000	1021	4	18	2.37102649	4.76721346
1000	1021	4	19	0.26404983	0.93602690
1000	1021	5	0	0.58482750	1.10934215
1000	1021	5	1	0.44854059	2.63404681
1000	1021	5	2	1.23093931	3.62828120
1000	1021	5	3	0.52224230	3.58035314
1000	1021	5	4	0.48885820	1.70219959
1000	1021	5	5	2.08481629	5.32233896
1000	1021	5	6	0.53442450	3.45082274
1000	1021	5	7	0.88151116	1.66356440
1000	1021	5	8	1.35204352	2.58161440
1000	1021	5	9	0.80972403	2.04528897
1000	1021	5	10	1.00105782	2.37726052
1000	1021	5	11	0.68713241	1.94519378
1000	1021	5	12	0.42282950	2.31568504
1000	1021	5	13	0.47161212	1.32999914
1000	1021	5	14	0.61481112	0.97225291
1000	1021	5	15	1.74901571	3.74348374
1000	1021	5	16	0.15922461	0.87885779
1000	1021	5	17	0.52405763	2.35241796
1000	1021	5	18	2.56858423	6.19099293
1000	1021	5	19	0.24865835	0.88558167
1000	1021	6	0	0.71659014	1.56205297
1000	1021	6	1	0.52237046	2.81853454
1000	1021	6	2	1.26438171	4.15217753
1000	1021	6	3	0.41370128	3.62755024
1000	1021	6	4	0.42649633	1.77296973
1000	1021	6	5	2.16910712	6.56333713
1000	1021	6	6	0.45148130	3.49068650
1000	1021	6	7	0.95162456	2.26506120
1000	1021	6	8	1.57921186	3.49323302
1000	1021	6	9	0.87969992	2.15375158
1000	1021	6	10	1.01193101	2.55414407
1000	1021	6	11	0.75446483	2.08049665
1000	1021	6	12	0.37308088	2.39697541
1000	1021	6	13	0.58496930	1.59764652
1000	1021	6	14	0.88054150	1.25258988
1000	1021	6	15	1.70583207	4.19768049
1000	1021	6	16	0.16390700	0.74257814
1000	1021	6	17	0.50735297	2.57858329
1000	1021	6	18	2.68443222	7.52942466
1000	1021	6	19	0.26248154	0.83669403
1000	1021	7	0	0.82403356	2.09261101
1000	1021	7	1	0.66529543	3.05835797
1000	1021	7	2	1.28359261	4.60742461
1000	1021	7	3	0.33081367	3.55994415
1000	1021	7	4	0.38302350	1.76399570
1000	1021	7	5	2.19476167	7.69187489
1000	1021	7	6	0.39121658	3.44189391
1000	1021	7	7	0.99478531	2.83542631
1000	1021	7	8	1.77815341	4.47649733
1000	1021	7	9	0.95825162	2.29500187
1000	1021	7	10	1.00208812	2.68057690
1000	1021	7	11	0.80927289	2.24474804
1000	1021	7	12	0.33767101	2.41652768
1000	1021	7	13	0.70832426	1.93760546
1000	1021	7	14	1.20814344	1.70221579
1000	1021	7	15	1.58902262	4.45159327
1000	1021	7	16	0.20386871	0.65680310
1000	1021	7	17	0.47841695	2.75940410
1000	1021	7	18	2.71499211	8.71775752
1000	1021	7	19	0.31886460	0.81805530
1000	1021	8	0	0.90794243	2.66742587
1000	1021	8	1	0.86046766	3.41706501
1000	1021	8	2	1.28801295	4.99316862
1000	1021	8	3	0.26977679	3.41842050
1000	1021	8	4	0.35761752	1.71375301
1000	1021	8	5	2.16432369	8.66714576
1000	1021	8	6	0.35084466	3.33982941
1000	1021	8	7	1.01900173	3.35294722
1000	1021	8	8	1.94884707	5.49095773
1000	1021	8	9	1.04956280	2.46637385
1000	1021	8	10	0.97042682	2.75333376
1000	1021	8	11	0.84601483	2.41721123
1000	1021	8	12	0.31578576	2.39778633
1000	1021	8	13	0.83457611	2.34878426
1000	1021	8	14	1.55284882	2.32476347
1000	1021	8	15	1.43626625	4.50087170
1000	1021	8	16	0.27226488	0.63983049
1000	1021	8	17	0.43745834	2.88839112
1000	1021	8	18	2.66257891	9.70052811
1000	1021	8	19	0.42613214	0.86206205
1000	1021	9	0	0.97180162	3.25769225
1000	1021	9	1	1.08178940	3.93498530
1000	1021	9	2	1.27484766	5.30816304
1000	1021	9	3	0.22565843	3.23463748
1000	1021	9	4	0.34826292	1.65044477
1000	1021	9	5	2.08505101	9.45735654
1000	1021	9	6	0.32736658	3.21202053
1000	1021	9	7	1.02978753	3.80757443
1000	1021	9	8	2.09225103	6.50304426
1000	1021	9	9	1.16290838	2.67029927
1000	1021	9	10	0.91974774	2.76920518
1000	1021	9	11	0.86328944	2.57749049
1000	1021	9	12	0.30578438	2.35992388
1000	1021	9	13	0.95876229	2.82315775
1000	1021	9	14	1.88404352	3.07784787
1000	1021	9	15	1.27474963	4.38034903
1000	1021	9	16	0.35634885	0.69696086
1000	1021	9	17	0.38875057	2.96008560
1000	1021	9	18	2.54097498	10.43560863
1000	1021	9	19	0.58260097	0.99855053
1000	1021	10	0	1.01952190	3.84152027
1000	1021	10	1	1.30752559	4.62230786
1000	1021	10	2	1.24189333	5.54860923
1000	1021	10	3	0.19414050	3.03112064
1000	1021	10	4	0.35287468	1.59333147
1000	1021	10	5	1.96925425	10.04301247
1000	1021	10	6	0.31811340	3.07905074
1000	1021	10	7	1.03078415	4.19646373
1000	1021	10	8	2.20969497	7.48587221
1000	1021	10	9	1.30688385	2.91765104
1000	1021	10	10	0.85577515	2.72889505
1000	1021	10	11	0.86212840	2.70957494
1000	1021	10	12	0.30587144	2.31764436
1000	1021	10	13	1.07751781	3.34896890
1000	1021	10	14	2.18693512	3.90305111
1000	1021	10	15	1.11915101	4.13999686
1000	1021	10	16	0.44375043	0.81896587
1000	1021	10	17	0.33802861	2.97399346
1000	1021	10	18	2.37181888	10.90302446
1000	1021	10	19	0.77793576	1.24564918
1000	1021	11	0	1.05449564	4.40353780
1000	1021	11	1	1.52395663	5.46646522
1000	1021	11	2	1.18988772	5.70924535
1000	1021	11	3	0.17197047	2.82308871
1000	1021	11	4	0.36963205	1.55485789
1000	1021	11	5	1.83128434	10.42002016
1000	1021	11	6	0.32085688	2.95588456
1000	1021	11	7	1.02434583	4.52089104
1000	1021	11	8	2.30262423	8.41847309
1000	1021	11	9	1.48370296	3.22416960
1000	1021	11	10	0.78492612	2.63858748
1000	1021	11	11	0.84490769	2.80302748
1000	1021	11	12	0.31433396	2.28168769
1000	1021	11	13	1.18853705	3.91289872
1000	1021	11	14	2.45645256	4.74725978
1000	1021	11	15	0.97612899	3.82718055
1000	1021	11	16	0.52605760	0.98734991
1000	1021	11	17	0.28996479	2.93541818
1000	1021	11	18	2.17745277	11.10840850
1000	1021	11	19	0.99809549	1.60506010
1000	1021	12	0	1.07934905	4.93359581
1000	1021	12	1	1.72386890	6.44243015
1000	1021	12	2	1.12267611	5.78657271
1000	1021	12	3	0.15688368	2.62048865
1000	1021	12	4	0.39699124	1.54259142
1000	1021	12	5	1.68427911	10.59928611
1000	1021	12	6	0.33374847	2.85311363
1000	1021	12	7	1.01199734	4.78427181
1000	1021	12	8	2.37251605	9.28490099
1000	1021	12	9	1.68749675	3.60241227
1000	1021	12	10	0.71266250	2.50873968
1000	1021	12	11	0.81465825	2.85274788
1000	1021	12	12	0.32959074	2.25949677
1000	1021	12	13	1.29019026	4.50136517
1000	1021	12	14	2.69246810	5.57056148
1000	1021	12	15	0.84804229	3.47954102
1000	1021	12	16	0.59897087	1.18142421
1000	1021	12	17	0.24726932	2.85366396
1000	1021	12	18	1.97609614	11.07861655
1000	1021	12	19	1.22960888	2.06387252
1000	1021	13	0	1.09600320	5.42538017
1000	1021	13	1	1.90424621	7.52047069
1000	1021	13	2	1.04563281	5.78161968
1000	1021	13	3	0.14736609	2.42968300
1000	1021	13	4	0.43357293	1.56069699
1000	1021	13	5	1.53837602	10.60312551
1000	1021	13	6	0.35519720	2.77796310
1000	1021	13	7	0.99477360	4.99097133
1000	1021	13	8	2.42088771	10.07340761
1000	1021	13	9	1.90712465	4.05476193
1000	1021	13	10	0.64288472	2.35164529
1000	1021	13	11	0.77462251	2.85811372
1000	1021	13	12	0.35017203	2.25583555
1000	1021	13	13	1.38130054	5.10123935
1000	1021	13	14	2.89712072	6.34664672
1000	1021	13	15	0.73509799	3.12405848
1000	1021	13	16	0.66109331	1.38315688
1000	1021	13	17	0.21095160	2.73956700
1000	1021	13	18	1.78041569	10.85338764
1000	1021	13	19	1.46166314	2.60004225
1000	1021	14	0	1.10582523	5.87524982
1000	1021	14	1	2.06451562	8.67081921
1000	1021	14	2	0.96395622	5.70058854
1000	1021	14	3	0.14242383	2.25467607
1000	1021	14	4	0.47801164	1.61093721
1000	1021	14	5	1.40037731	10.46045312
1000	1021	14	6	0.38373705	2.73503162
1000	1021	14	7	0.97346975	5.14565505
1000	1021	14	8	2.44935527	10.77576622
1000	1021	14	9	2.13051379	4.57164387
1000	1021	14	10	0.57800311	2.17923630
1000	1021	14	11	0.72796559	2.82192160
1000	1021	14	12	0.37468551	2.27329561
1000	1021	14	13	1.46102418	5.70022888
1000	1021	14	14	3.07344943	7.06039597
1000	1021	14	15	0.63648231	2.77858810
1000	1021	14	16	0.71269597	1.57918206
1000	1021	14	17	0.18093087	2.60360069
1000	1021	14	18	1.59810385	10.47723134
1000	1021	14	19	1.68652327	3.18811893
1000	1021	15	0	1.10976829	6.28136445
1000	1021	15	1	2.20543063	9.86611922
1000	1021	15	2	0.88176034	5.55367135
1000	1021	15	3	0.14141578	2.09794699
1000	1021	15	4	0.52881359	1.69327633
1000	1021	15	5	1.27422424	10.20240169
1000	1021	15	6	0.41791159	2.72679280
1000	1021	15	7	0.94882498	5.25299826
1000	1021	15	8	2.45971429	11.38676960
1000	1021	15	9	2.34767725	5.13469336
1000	1021	15	10	0.51926908	2.00171831
1000	1021	15	11	0.67758975	2.74933986
1000	1021	15	12	0.40179470	2.31269398
1000	1021	15	13	1.52877619	6.28708279
1000	1021	15	14	3.22471788	7.70493014
1000	1021	15	15	0.55094322	2.45399544
1000	1021	15	16	0.75484885	1.76089903
1000	1021	15	17	0.15657121	2.45483138
1000	1021	15	18	1.43311873	9.99350559
1000	1021	15	19	1.89915314	3.80346825
1000	1021	16	0	1.10847338	6.64305607
1000	1021	16	1	2.32840544	11.08251010
1000	1021	16	2	0.80190102	5.35318803
1000	1021	16	3	0.14394796	1.96100485
1000	1021	16	4	0.58425350	1.80619357
1000	1021	16	5	1.16173106	9.85910936
1000	1021	16	6	0.45619370	2.75390927
1000	1021	16	7	0.92165209	5.31762848
1000	1021	16	8	2.45401743	11.90389448
1000	1021	16	9	2.55176798	5.72185540
1000	1021	16	10	0.46713149	1.82701013
1000	1021	16	11	0.62602343	2.64697289
1000	1021	16	12	0.43021895	2.37339070
1000	1021	16	13	1.58417247	6.85169052
1000	1021	16	14	3.35409007	8.27900030
1000	1021	16	15	0.47708908	2.15613577
1000	1021	16	16	0.78890139	1.92366897
1000	1021	16	17	0.13703497	2.30054143
1000	1021	16	18	1.28689464	9.44091120
1000	1021	16	19	2.09660486	4.42469664
1000	1021	17	0	1.10233993	6.96037726
1000	1021	17	1	2.43513010	12.29993737
1000	1021	17	2	0.72616272	5.11191356
1000	1021	17	3	0.14980901	1.84476453
1000	1021	17	4	0.64233026	1.94681639
1000	1021	17	5	1.06328429	9.45775036
1000	1021	17	6	0.49695037	2.81542162
1000	1021	17	7	0.89291634	5.34420714
1000	1021	17	8	2.43462711	12.32710070
1000	1021	17	9	2.73886727	6.31178989
1000	1021	17	10	0.42152984	1.66073407
1000	1021	17	11	0.57536878	2.52207996
1000	1021	17	12	0.45875250	2.45355954
1000	1021	17	13	1.62698331	7.38510795
1000	1021	17	14	3.46448440	8.78495122
1000	1021	17	15	0.41353993	1.88744748
1000	1021	17	16	0.81620526	2.06576222
1000	1021	17	17	0.12147967	2.14625335
1000	1021	17	18	1.15929432	8.85189342
1000	1021	17	19	2.27743385	5.03465063
1000	1021	18	0	1.09157791	7.23377375
1000	1021	18	1	2.52735300	13.50204699
1000	1021	18	2	0.65553536	4.84191794
1000	1021	18	3	0.15892797	1.74980814
1000	1021	18	4	0.70078853	2.11097671
1000	1021	18	5	0.97839902	9.02157714
1000	1021	18	6	0.53845295	2.90887488
1000	1021	18	7	0.86376395	5.33757626
1000	1021	18	8	2.40422769	12.65871737
1000	1021	18	9	2.90729643	6.88655480
1000	1021	18	10	0.38210834	1.50650274
1000	1021	18	11	0.52729652	2.38196309
1000	1021	18	12	0.48629288	2.55043786
1000	1021	18	13	1.65710164	7.87953290
1000	1021	18	14	3.55851845	9.22723938
1000	1021	18	15	0.35900112	1.64814558
1000	1021	18	16	0.83798396	2.18738237
1000	1021	18	17	0.10915074	1.99594784
1000	1021	18	18	1.04928502	8.25231337
1000	1021	18	19	2.44122303	5.62049558
1000	1021	19	0	1.07625166	7.46384818
1000	1021	19	1	2.60676187	14.67587274
1000	1021	19	2	0.59046273	4.55390899
1000	1021	19	3	0.17134243	1.67656964
1000	1021	19	4	0.75719873	2.29327484
1000	1021	19	5	0.90611974	8.56967073
1000	1021	19	6	0.57892401	3.03043730
1000	1021	19	7	0.83550249	5.30290913
1000	1021	19	8	2.36579165	12.90336062
1000	1021	19	9	3.05689980	7.43268114
1000	1021	19	10	0.34836190	1.36632048
1000	1021	19	11	0.48307778	2.23352354
1000	1021	19	12	0.51186730	2.66056804
1000	1021	19	13	1.67452860	8.32825263
1000	1021	19	14	3.63849986	9.61140576
1000	1021	19	15	0.31229560	1.43707607
1000	1021	19	16	0.85528457	2.28988806
1000	1021	19	17	0.09941410	1.85234694
1000	1021	19	18	0.95538956	7.66186079
1000	1021	19	19	2.58822382	6.17329206
1000	1021	20	0	1.05632126	7.65119574
1000	1021	20	1	2.67492229	15.81143594
1000	1021	20	2	0.53103159	4.25695169
1000	1021	20	3	0.18717002	1.62546295
1000	1021	20	4	0.80907631	2.48720777
1000	1021	20	5	0.84529014	8.11713152
1000	1021	20	6	0.61660521	3.17504885
1000	1021	20	7	0.80953995	5.24581578
1000	1021	20	8	2.32250439	13.06783156
1000	1021	20	9	3.18846550	7.94116232
1000	1021	20	10	0.31973076	1.24099168
1000	1021	20	11	0.44364211	2.08297588
1000	1021	20	12	0.53464763	2.78002960
1000	1021	20	13	1.67937634	8.72558498
1000	1021	20	14	3.70643996	9.94339275
1000	1021	20	15	0.27237413	1.25230705
1000	1021	20	16	0.86897215	2.37522819
1000	1021	20	17	0.09175781	1.71719393
1000	1021	20	18	0.87597354	7.09483589
1000	1021	20	19	2.71909603	6.68735561
1000	1021	21	0	1.03168504	7.79630080
1000	1021	21	1	2.73324984	16.90132380
1000	1021	21	2	0.47710520	3.95843131
1000	1021	21	3	0.20657969	1.59696476
1000	1021	21	4	0.85401610	2.68538519
1000	1021	21	5	0.79472438	7.67550951
1000	1021	21	6	0.64982982	3.33661635
1000	1021	21	7	0.78729471	5.17236994
1000	1021	21	8	2.27765947	13.16095640
1000	1021	21	9	3.30330898	8.40686796
1000	1021	21	10	0.29565906	1.13048208
1000	1021	21	11	0.40965089	1.93570122
1000	1021	21	12	0.55395010	2.90465217
1000	1021	21	13	1.67188486	9.06683136
1000	1021	21	14	3.76407774	10.22910977
1000	1021	21	15	0.23831384	1.09152559
1000	1021	21	16	0.87974399	2.44556140
1000	1021	21	17	0.08577984	1.59149937
1000	1021	21	18	0.80941995	6.56106301
1000	1021	21	19	2.83472411	7.15957150
1000	1021	22	0	1.00222537	7.89948842
1000	1021	22	1	2.78300153	17.94028222
1000	1021	22	2	0.42841398	3.66415719
1000	1021	22	3	0.22975986	1.59165740
1000	1021	22	4	0.88982195	2.87982677
1000	1021	22	5	0.75330943	7.25333770
1000	1021	22	6	0.67708789	3.50825312
1000	1021	22	7	0.77009028	5.08904141
1000	1021	22	8	2.23453798	13.19334917
1000	1021	22	9	3.40299366	8.82774213
1000	1021	22	10	0.27562919	1.03421344
1000	1021	22	11	0.38157679	1.79621550
1000	1021	22	12	0.56922114	3.03019669
1000	1021	22	13	1.65244754	9.34825372
1000	1021	22	14	3.81290756	10.47417229
1000	1021	22	15	0.20931092	0.95229591
1000	1021	22	16	0.88815151	2.50301785
1000	1021	22	17	0.08117143	1.47574385
1000	1021	22	18	0.75422960	6.06679741
1000	1021	22	19	2.93608954	7.58875597
1000	1021	23	0	0.96785819	7.96092728
1000	1021	23	1	2.82527799	18.92484083
1000	1021	23	2	0.38461566	3.37853704
1000	1021	23	3	0.25688242	1.61023440
1000	1021	23	4	0.91462267	3.06231618
1000	1021	23	5	0.72006158	6.85668321
1000	1021	23	6	0.69708066	3.68254954
1000	1021	23	7	0.75904687	5.00253446
1000	1021	23	8	2.19628119	13.17709423
1000	1021	23	9	3.48915296	9.20399727
1000	1021	23	10	0.25918036	0.95129038
1000	1021	23	11	0.35978137	1.66822621
1000	1021	23	12	0.58001504	3.15249576
1000	1021	23	13	1.62163843	9.56708065
1000	1021	23	14	3.85420716	10.68375830
1000	1021	23	15	0.18467078	0.83222092
1000	1021	23	16	0.89462330	2.54956285
1000	1021	23	17	0.07770051	1.37003832
1000	1021	23	18	0.70907399	5.61555220
1000	1021	23	19	3.02418337	7.97510447
1000	1021	24	0	0.92858495	7.98068192
1000	1021	24	1	2.86103128	19.85297776
1000	1021	24	2	0.34533457	3.10477735
1000	1021	24	3	0.28806219	1.65346914
1000	1021	24	4	0.92697668	3.22478393
1000	1021	24	5	0.69415348	6.48966755
1000	1021	24	6	0.70876868	3.85185912
1000	1021	24	7	0.75497838	4.91954512
1000	1021	24	8	2.16575938	13.12535560
1000	1021	24	9	3.56338250	9.53740636
1000	1021	24	10	0.24591738	0.88066715
