world_id	combo_key	topo_idx	a_min	a_max	sign_ratio	edge_density_r	decay_delta	basal_transcription_b	attractor_type	attractor_distribution	spectral_radius	converged	convergence_time	eq_magnitude	eq_sparsity	bounded	max_expression	collapsed	clipping_dominated	clipping_freq	oscillation_exists
baseline_balanced_t000	baseline_balanced	0	0.02	0.1	0.5	0.1	0.2	0.1	Type A	{'Type A': 5}	0.854532	True	51.0	2.3611	0.0	True	0.995	False	False	0.0	False
baseline_balanced_t001	baseline_balanced	1	0.02	0.1	0.5	0.1	0.2	0.1	Type A	{'Type A': 5}	0.8	True	45.8	2.5494	0.0	True	1.038	False	False	0.0	False
baseline_balanced_t002	baseline_balanced	2	0.02	0.1	0.5	0.1	0.2	0.1	Type A	{'Type A': 5}	0.879309	True	54.6	2.5851	0.0	True	0.991	False	False	0.0	False
baseline_balanced_t003	baseline_balanced	3	0.02	0.1	0.5	0.1	0.2	0.1	Type A	{'Type A': 5}	0.90139	True	58.6	2.5031	0.0	True	0.989	False	False	0.0	False
baseline_balanced_t004	baseline_balanced	4	0.02	0.1	0.5	0.1	0.2	0.1	Type A	{'Type A': 5}	0.853484	True	47.8	2.3897	0.1	True	0.9972	False	False	0.099	False
baseline_balanced_t005	baseline_balanced	5	0.02	0.1	0.5	0.1	0.2	0.1	Type A	{'Type A': 5}	0.892832	True	58.4	2.3972	0.05	True	1.0184	False	False	0.0488	False
baseline_balanced_t006	baseline_balanced	6	0.02	0.1	0.5	0.1	0.2	0.1	Type A	{'Type A': 5}	0.897917	True	53.8	2.5512	0.15	True	1.0817	False	True	0.1477	False
baseline_balanced_t007	baseline_balanced	7	0.02	0.1	0.5	0.1	0.2	0.1	Type A	{'Type A': 5}	0.871517	True	57.2	2.5569	0.0	True	1.0401	False	False	0.0	False
baseline_balanced_t008	baseline_balanced	8	0.02	0.1	0.5	0.1	0.2	0.1	Type A	{'Type A': 5}	0.878643	True	55.4	2.5436	0.0	True	0.9909	False	False	0.0	False
baseline_balanced_t009	baseline_balanced	9	0.02	0.1	0.5	0.1	0.2	0.1	Type A	{'Type A': 5}	0.878754	True	52.4	2.6289	0.05	True	1.0739	False	False	0.0495	False
stress_balanced_t000	stress_balanced	0	0.1	0.3	0.5	0.1	0.2	0.1	Type E	{'Type E': 5}	1.01372	False		2.5021769889253132e+25	0.35	False	1.750251669540842e+25	False	True	0.3458	False
