world_id	topology_type	N_TF	TF_candidate_edge_count	sampled_edge_count	edge_density_r	tf_pool_internal_density	sign_ratio	decay_δ	basal_transcription_b	parameter_regime	run_002_comparison_label	paired_run002_world_id	n_replicates	edge_density_matched_to_run002	topo_idx	a_min	a_max	primary_attractor	attractor_distribution	convergence_time	oscillation_exists	clipping_freq	clipping_dominated	equilibrium_magnitude	equilibrium_sparsity	spectral_radius	converged	bounded	max_expression	numerical_collapse
baseline_balanced_t000	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	baseline_balanced	edge-density-matched (N_EDGES=38)	baseline_balanced_t000	5	True	0	0.02	0.1	Type A	{'Type A': 5}	55.8	False	0.049	False	0.5524	0.05	0.855952	True	True	1.2754	False
baseline_balanced_t001	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	baseline_balanced	edge-density-matched (N_EDGES=38)	baseline_balanced_t001	5	True	1	0.02	0.1	Type A	{'Type A': 5}	45.8	False	0.0498	False	0.4729	0.05	0.800281	True	True	0.9952	False
baseline_balanced_t002	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	baseline_balanced	edge-density-matched (N_EDGES=38)	baseline_balanced_t002	5	True	2	0.02	0.1	Type A	{'Type A': 5}	49.4	False	0.0	False	0.4824	0.0	0.883666	True	True	0.991	False
baseline_balanced_t003	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	baseline_balanced	edge-density-matched (N_EDGES=38)	baseline_balanced_t003	5	True	3	0.02	0.1	Type A	{'Type A': 5}	55.2	False	0.0489	False	0.5999	0.05	0.883287	True	True	1.2705	False
baseline_balanced_t004	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	baseline_balanced	edge-density-matched (N_EDGES=38)	baseline_balanced_t004	5	True	4	0.02	0.1	Type A	{'Type A': 5}	50.2	False	0.0	False	0.5114	0.0	0.882681	True	True	1.1453	False
baseline_balanced_t005	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	baseline_balanced	edge-density-matched (N_EDGES=38)	baseline_balanced_t005	5	True	5	0.02	0.1	Type A	{'Type A': 5}	43.0	False	0.0	False	0.4684	0.0	0.806869	True	True	0.9981	False
baseline_balanced_t006	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	baseline_balanced	edge-density-matched (N_EDGES=38)	baseline_balanced_t006	5	True	6	0.02	0.1	Type A	{'Type A': 5}	41.4	False	0.0499	False	0.497	0.05	0.810422	True	True	1.0254	False
baseline_balanced_t007	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	baseline_balanced	edge-density-matched (N_EDGES=38)	baseline_balanced_t007	5	True	7	0.02	0.1	Type A	{'Type A': 5}	47.4	False	0.0993	False	0.4886	0.1	0.850367	True	True	1.0049	False
baseline_balanced_t008	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	baseline_balanced	edge-density-matched (N_EDGES=38)	baseline_balanced_t008	5	True	8	0.02	0.1	Type A	{'Type A': 5}	50.0	False	0.0	False	0.4671	0.0	0.857103	True	True	0.9909	False
baseline_balanced_t009	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	baseline_balanced	edge-density-matched (N_EDGES=38)	baseline_balanced_t009	5	True	9	0.02	0.1	Type A	{'Type A': 5}	46.6	False	0.0	False	0.5123	0.0	0.851995	True	True	0.9892	False
chen_moderate_balanced_t000	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_moderate_balanced	edge-density-matched (N_EDGES=38)	chen_moderate_balanced_t000	5	True	0	0.1	0.2	Type A	{'Type A': 5}	60.8	False	0.1498	True	0.7825	0.15	0.882771	True	True	2.6037	False
chen_moderate_balanced_t001	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_moderate_balanced	edge-density-matched (N_EDGES=38)	chen_moderate_balanced_t001	5	True	1	0.1	0.2	Type A	{'Type A': 5}	47.0	False	0.2987	True	0.6729	0.3	0.807856	True	True	2.2082	False
chen_moderate_balanced_t002	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_moderate_balanced	edge-density-matched (N_EDGES=38)	chen_moderate_balanced_t002	5	True	2	0.1	0.2	Type A	{'Type A': 5}	110.8	False	0.1953	True	0.5325	0.2	0.942666	True	True	1.6163	False
chen_moderate_balanced_t003	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_moderate_balanced	edge-density-matched (N_EDGES=38)	chen_moderate_balanced_t003	5	True	3	0.1	0.2	Type B	{'Type B': 5}	533.2	False	0.3475	True	3.6371	0.35	1.004961	True	True	11.9242	False
chen_moderate_balanced_t004	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_moderate_balanced	edge-density-matched (N_EDGES=38)	chen_moderate_balanced_t004	5	True	4	0.1	0.2	Type A	{'Type A': 5}	120.6	False	0.0004	False	0.5012	0.0	0.955031	True	True	1.4144	False
chen_moderate_balanced_t005	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_moderate_balanced	edge-density-matched (N_EDGES=38)	chen_moderate_balanced_t005	5	True	5	0.1	0.2	Type A	{'Type A': 5}	64.6	False	0.0499	False	0.5216	0.05	0.890484	True	True	1.6988	False
chen_moderate_balanced_t006	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_moderate_balanced	edge-density-matched (N_EDGES=38)	chen_moderate_balanced_t006	5	True	6	0.1	0.2	Type A	{'Type A': 5}	45.4	False	0.299	True	0.4689	0.3	0.832812	True	True	1.4599	False
chen_moderate_balanced_t007	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_moderate_balanced	edge-density-matched (N_EDGES=38)	chen_moderate_balanced_t007	5	True	7	0.1	0.2	Type A	{'Type B': 1, 'Type A': 4}	199.2	False	0.2975	True	1.1826	0.3	0.917815	True	True	4.1445	False
chen_moderate_balanced_t008	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_moderate_balanced	edge-density-matched (N_EDGES=38)	chen_moderate_balanced_t008	5	True	8	0.1	0.2	Type A	{'Type A': 5}	118.6	False	0.0503	False	0.5362	0.05	0.942441	True	True	1.4743	False
chen_moderate_balanced_t009	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_moderate_balanced	edge-density-matched (N_EDGES=38)	chen_moderate_balanced_t009	5	True	9	0.1	0.2	Type A	{'Type A': 5}	53.2	False	0.2489	True	0.5808	0.25	0.933963	True	True	1.398	False
stress_balanced_t000	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	stress_balanced	edge-density-matched (N_EDGES=38)	stress_balanced_t000	5	True	0	0.1	0.3	Type A	{'Type A': 5}	67.0	False	0.25	True	1.0664	0.25	0.919549	True	True	4.0274	False
stress_balanced_t001	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	stress_balanced	edge-density-matched (N_EDGES=38)	stress_balanced_t001	5	True	1	0.1	0.3	Type A	{'Type A': 5}	57.0	False	0.349	True	0.868	0.35	0.828788	True	True	2.7298	False
stress_balanced_t002	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	stress_balanced	edge-density-matched (N_EDGES=38)	stress_balanced_t002	5	True	2	0.1	0.3	Type A	{'Type A': 4, 'Type B': 1}	101.6	False	0.3256	True	0.6645	0.34	1.023564	True	True	2.3881	False
stress_balanced_t003	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	stress_balanced	edge-density-matched (N_EDGES=38)	stress_balanced_t003	5	True	3	0.1	0.3	Type E	{'Type E': 5}		False	0.3485	True	3.6281519468353104e+29	0.35	1.110204	False	False	5.9221114756454e+30	False
stress_balanced_t004	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	stress_balanced	edge-density-matched (N_EDGES=38)	stress_balanced_t004	5	True	4	0.1	0.3	Type A	{'Type A': 5}	85.0	False	0.1982	True	0.553	0.2	0.921359	True	True	1.9938	False
stress_balanced_t005	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	stress_balanced	edge-density-matched (N_EDGES=38)	stress_balanced_t005	5	True	5	0.1	0.3	Type A	{'Type A': 5}	89.6	False	0.1482	True	0.5576	0.15	0.916316	True	True	2.2621	False
stress_balanced_t006	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	stress_balanced	edge-density-matched (N_EDGES=38)	stress_balanced_t006	5	True	6	0.1	0.3	Type A	{'Type A': 5}	48.2	False	0.2996	True	0.5002	0.3	0.869681	True	True	1.8682	False
stress_balanced_t007	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	stress_balanced	edge-density-matched (N_EDGES=38)	stress_balanced_t007	5	True	7	0.1	0.3	Type A	{'Type A': 5}	160.6	False	0.2993	True	1.0962	0.3	0.945085	True	True	5.1574	False
stress_balanced_t008	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	stress_balanced	edge-density-matched (N_EDGES=38)	stress_balanced_t008	5	True	8	0.1	0.3	Type A	{'Type A': 5}	85.4	False	0.1476	True	0.5962	0.15	0.972167	True	True	2.3287	False
stress_balanced_t009	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	stress_balanced	edge-density-matched (N_EDGES=38)	stress_balanced_t009	5	True	9	0.1	0.3	Type A	{'Type A': 5}	62.2	False	0.3477	True	0.6549	0.35	0.955721	True	True	2.1035	False
chen_stress_balanced_t000	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_stress_balanced	edge-density-matched (N_EDGES=38)	chen_stress_balanced_t000	5	True	0	0.2	0.4	Type A	{'Type A': 5}	60.2	False	0.2496	True	1.9845	0.25	0.942279	True	True	9.4133	False
chen_stress_balanced_t001	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_stress_balanced	edge-density-matched (N_EDGES=38)	chen_stress_balanced_t001	5	True	1	0.2	0.4	Type A	{'Type A': 5}	61.0	False	0.3494	True	1.0785	0.35	0.854466	True	True	5.3285	False
chen_stress_balanced_t002	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_stress_balanced	edge-density-matched (N_EDGES=38)	chen_stress_balanced_t002	5	True	2	0.2	0.4	Type A	{'Type A': 5}	59.2	False	0.3095	True	1.0792	0.31	1.210571	True	True	5.1753	False
chen_stress_balanced_t003	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_stress_balanced	edge-density-matched (N_EDGES=38)	chen_stress_balanced_t003	5	True	3	0.2	0.4	Type E	{'Type E': 5}		False	0.3489	True	1.165430576996038e+29	0.35	1.163509	False	False	1.785174349551555e+30	False
chen_stress_balanced_t004	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_stress_balanced	edge-density-matched (N_EDGES=38)	chen_stress_balanced_t004	5	True	4	0.2	0.4	Type A	{'Type A': 5}	55.0	False	0.199	True	0.6716	0.2	1.16871	True	True	2.8034	False
chen_stress_balanced_t005	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_stress_balanced	edge-density-matched (N_EDGES=38)	chen_stress_balanced_t005	5	True	5	0.2	0.4	Type A	{'Type A': 5}	59.4	False	0.2494	True	0.4294	0.25	1.005953	True	True	3.0034	False
chen_stress_balanced_t006	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_stress_balanced	edge-density-matched (N_EDGES=38)	chen_stress_balanced_t006	5	True	6	0.2	0.4	Type A	{'Type A': 5}	52.6	False	0.4485	True	0.7665	0.45	0.871281	True	True	2.7851	False
chen_stress_balanced_t007	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_stress_balanced	edge-density-matched (N_EDGES=38)	chen_stress_balanced_t007	5	True	7	0.2	0.4	Type E	{'Type E': 5}		False	0.4483	True	12326063508157.8	0.45	1.041611	False	False	123409593091689.3	False
chen_stress_balanced_t008	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_stress_balanced	edge-density-matched (N_EDGES=38)	chen_stress_balanced_t008	5	True	8	0.2	0.4	Type A	{'Type A': 5}	66.0	False	0.347	True	0.8228	0.35	1.029701	True	True	3.1627	False
chen_stress_balanced_t009	TF-restricted	5	95	38	0.1	0.4	0.5	0.2	0.1	chen_stress_balanced	edge-density-matched (N_EDGES=38)	chen_stress_balanced_t009	5	True	9	0.2	0.4	Type A	{'Type A': 5}	65.6	False	0.3486	True	1.1608	0.35	1.093207	True	True	3.775	False
baseline_repression_biased_t000	TF-restricted	5	95	38	0.1	0.4	0.333	0.2	0.1	baseline_repression_biased	edge-density-matched (N_EDGES=38)	baseline_repression_biased_t000	5	True	0	0.02	0.1	Type A	{'Type A': 5}	48.4	False	0.0	False	0.3884	0.0	0.876105	True	True	0.9967	False
baseline_repression_biased_t001	TF-restricted	5	95	38	0.1	0.4	0.333	0.2	0.1	baseline_repression_biased	edge-density-matched (N_EDGES=38)	baseline_repression_biased_t001	5	True	1	0.02	0.1	Type A	{'Type A': 5}	43.6	False	0.0496	False	0.3996	0.05	0.865302	True	True	0.9971	False
baseline_repression_biased_t002	TF-restricted	5	95	38	0.1	0.4	0.333	0.2	0.1	baseline_repression_biased	edge-density-matched (N_EDGES=38)	baseline_repression_biased_t002	5	True	2	0.02	0.1	Type A	{'Type A': 5}	43.0	False	0.0	False	0.4251	0.0	0.801185	True	True	0.9973	False
