combo_key	topology_type	delta	strength_regime	sign_ratio	N_world	fraction_convergent	fraction_sustained_oscillatory	fraction_divergent	fraction_collapse	fraction_ambiguous	mean_convergence_time	mean_clipping_frequency	mean_spectral_radius
tf_restricted_d0p1_baseline_balanced	tf_restricted	0.1	baseline	balanced	10	0.9	0.0	0.1	0.0	0.0	158.9111111111111	0.155675	0.9572837735843382
tf_restricted_d0p1_baseline_repression_biased	tf_restricted	0.1	baseline	repression_biased	10	1.0	0.0	0.0	0.0	0.0	196.51999999999998	0.235188	0.9547612284129944
tf_restricted_d0p1_chen_moderate_balanced	tf_restricted	0.1	chen_moderate	balanced	10	0.8	0.0	0.2	0.0	0.0	217.6	0.32538799999999996	1.0318589194657732
tf_restricted_d0p1_chen_moderate_repression_biased	tf_restricted	0.1	chen_moderate	repression_biased	10	0.7	0.0	0.3	0.0	0.0	111.45714285714283	0.42134599999999994	1.0457123182878743
tf_restricted_d0p1_chen_stress_balanced	tf_restricted	0.1	chen_stress	balanced	10	0.6	0.1	0.3	0.0	0.0	138.76666666666668	0.31994799999999995	1.1879215740830567
tf_restricted_d0p1_chen_stress_repression_biased	tf_restricted	0.1	chen_stress	repression_biased	10	0.7	0.0	0.3	0.0	0.0	154.65714285714287	0.461003	1.1917387734840676
tf_restricted_d0p1_stress_balanced	tf_restricted	0.1	stress	balanced	10	0.7	0.0	0.3	0.0	0.0	180.57142857142853	0.31747000000000003	1.0717266890158639
tf_restricted_d0p1_stress_repression_biased	tf_restricted	0.1	stress	repression_biased	10	0.7	0.0	0.3	0.0	0.0	121.28571428571429	0.43894399999999995	1.0923869288270895
tf_restricted_d0p2_baseline_balanced	tf_restricted	0.2	baseline	balanced	10	1.0	0.0	0.0	0.0	0.0	47.92	0.034509	0.8534433174724505
tf_restricted_d0p2_baseline_repression_biased	tf_restricted	0.2	baseline	repression_biased	10	1.0	0.0	0.0	0.0	0.0	48.040000000000006	0.019858999999999998	0.8381023828206715
tf_restricted_d0p2_chen_moderate_balanced	tf_restricted	0.2	chen_moderate	balanced	10	1.0	0.0	0.0	0.0	0.0	96.58	0.238087	0.9083284800678191
tf_restricted_d0p2_chen_moderate_repression_biased	tf_restricted	0.2	chen_moderate	repression_biased	10	1.0	0.0	0.0	0.0	0.0	98.44	0.24884900000000001	0.9004448702038097
tf_restricted_d0p2_chen_stress_balanced	tf_restricted	0.2	chen_stress	balanced	10	0.7	0.0	0.3	0.0	0.0	84.14285714285714	0.36443	1.0254869067429317
tf_restricted_d0p2_chen_stress_repression_biased	tf_restricted	0.2	chen_stress	repression_biased	10	0.8	0.0	0.2	0.0	0.0	53.25	0.475108	1.003824607198275
tf_restricted_d0p2_stress_balanced	tf_restricted	0.2	stress	balanced	10	0.8	0.0	0.2	0.0	0.0	127.05	0.32801500000000006	0.9519623063092395
tf_restricted_d0p2_stress_repression_biased	tf_restricted	0.2	stress	repression_biased	10	0.8	0.0	0.2	0.0	0.0	59.824999999999996	0.335378	0.9283922677855229
tf_restricted_d0p4_baseline_balanced	tf_restricted	0.4	baseline	balanced	10	1.0	0.0	0.0	0.0	0.0	20.119999999999997	4.000000000000001e-06	0.6351564201608207
tf_restricted_d0p4_baseline_repression_biased	tf_restricted	0.4	baseline	repression_biased	10	1.0	0.0	0.0	0.0	0.0	20.18	4.000000000000001e-06	0.6517730392944847
tf_restricted_d0p4_chen_moderate_balanced	tf_restricted	0.4	chen_moderate	balanced	10	1.0	0.0	0.0	0.0	0.0	26.1	0.079898	0.7256466061800756
tf_restricted_d0p4_chen_moderate_repression_biased	tf_restricted	0.4	chen_moderate	repression_biased	10	1.0	0.0	0.0	0.0	0.0	26.76	0.030084000000000007	0.7187053636305362
tf_restricted_d0p4_chen_stress_balanced	tf_restricted	0.4	chen_stress	balanced	10	0.9	0.0	0.1	0.0	0.0	51.844444444444434	0.23487200000000003	0.8248266314020591
tf_restricted_d0p4_chen_stress_repression_biased	tf_restricted	0.4	chen_stress	repression_biased	10	1.0	0.0	0.0	0.0	0.0	38.28	0.20513600000000004	0.8639671749472125
tf_restricted_d0p4_stress_balanced	tf_restricted	0.4	stress	balanced	10	1.0	0.0	0.0	0.0	0.0	34.92	0.149787	0.7644123037916681
tf_restricted_d0p4_stress_repression_biased	tf_restricted	0.4	stress	repression_biased	10	1.0	0.0	0.0	0.0	0.0	27.159999999999997	0.11511399999999998	0.743217961753531
unrestricted_sparse_d0p1_baseline_balanced	unrestricted_sparse	0.1	baseline	balanced	10	1.0	0.0	0.0	0.0	0.0	207.29999999999995	0.14693	0.9707866398131759
unrestricted_sparse_d0p1_baseline_repression_biased	unrestricted_sparse	0.1	baseline	repression_biased	10	1.0	0.0	0.0	0.0	0.0	146.66	0.21607500000000002	0.9767401377209929
unrestricted_sparse_d0p1_chen_moderate_balanced	unrestricted_sparse	0.1	chen_moderate	balanced	10	0.4	0.0	0.6	0.0	0.0	179.35	0.308024	1.0648147573212179
unrestricted_sparse_d0p1_chen_moderate_repression_biased	unrestricted_sparse	0.1	chen_moderate	repression_biased	10	0.9	0.0	0.1	0.0	0.0	138.93333333333334	0.429879	1.0713767686511446
unrestricted_sparse_d0p1_chen_stress_balanced	unrestricted_sparse	0.1	chen_stress	balanced	10	0.3	0.0	0.7	0.0	0.0	208.46666666666667	0.32158600000000004	1.2144039234425965
unrestricted_sparse_d0p1_chen_stress_repression_biased	unrestricted_sparse	0.1	chen_stress	repression_biased	10	0.8	0.1	0.1	0.0	0.0	150.75	0.44076700000000013	1.2367631347336334
unrestricted_sparse_d0p1_stress_balanced	unrestricted_sparse	0.1	stress	balanced	10	0.3	0.0	0.7	0.0	0.0	174.0666666666667	0.31296099999999993	1.1327372471700559
unrestricted_sparse_d0p1_stress_repression_biased	unrestricted_sparse	0.1	stress	repression_biased	10	1.0	0.0	0.0	0.0	0.0	142.01999999999998	0.44721299999999997	1.1295723566548825
unrestricted_sparse_d0p2_baseline_balanced	unrestricted_sparse	0.2	baseline	balanced	10	1.0	0.0	0.0	0.0	0.0	50.2	0.029732	0.8677361177759589
unrestricted_sparse_d0p2_baseline_repression_biased	unrestricted_sparse	0.2	baseline	repression_biased	10	1.0	0.0	0.0	0.0	0.0	50.04	0.039657	0.8692666198986165
unrestricted_sparse_d0p2_chen_moderate_balanced	unrestricted_sparse	0.2	chen_moderate	balanced	10	1.0	0.0	0.0	0.0	0.0	89.16000000000001	0.24323199999999998	0.9929786174003576
unrestricted_sparse_d0p2_chen_moderate_repression_biased	unrestricted_sparse	0.2	chen_moderate	repression_biased	10	1.0	0.0	0.0	0.0	0.0	103.54	0.243381	0.9709131852814131
unrestricted_sparse_d0p2_chen_stress_balanced	unrestricted_sparse	0.2	chen_stress	balanced	10	0.7	0.2	0.1	0.0	0.0	65.97142857142858	0.352874	1.1934677282585269
unrestricted_sparse_d0p2_chen_stress_repression_biased	unrestricted_sparse	0.2	chen_stress	repression_biased	10	0.7	0.0	0.3	0.0	0.0	76.94285714285716	0.455189	1.140294330278984
unrestricted_sparse_d0p2_stress_balanced	unrestricted_sparse	0.2	stress	balanced	10	1.0	0.0	0.0	0.0	0.0	113.88	0.262427	1.0495579654612504
unrestricted_sparse_d0p2_stress_repression_biased	unrestricted_sparse	0.2	stress	repression_biased	10	0.7	0.0	0.1	0.0	0.2	72.97142857142858	0.362613	1.0331249024196654
unrestricted_sparse_d0p4_baseline_balanced	unrestricted_sparse	0.4	baseline	balanced	10	1.0	0.0	0.0	0.0	0.0	20.1	0.0	0.6605606499088588
unrestricted_sparse_d0p4_baseline_repression_biased	unrestricted_sparse	0.4	baseline	repression_biased	10	1.0	0.0	0.0	0.0	0.0	20.4	1.2000000000000002e-05	0.6694419870848609
unrestricted_sparse_d0p4_chen_moderate_balanced	unrestricted_sparse	0.4	chen_moderate	balanced	10	1.0	0.0	0.0	0.0	0.0	27.46	0.03999199999999999	0.7540372462092564
unrestricted_sparse_d0p4_chen_moderate_repression_biased	unrestricted_sparse	0.4	chen_moderate	repression_biased	10	1.0	0.0	0.0	0.0	0.0	27.98	0.055008	0.7707945355149729
