source_world_id,perturbation_id,edge_id,source_gene,target_gene,sign,strength,abs_strength,source_outdegree,target_indegree,is_strong,is_hub_outgoing,is_in_largest_scc,is_cycle_associated,associated_fraction_robust,associated_fraction_landing_shift,associated_fraction_regime_transition,associated_mean_state_distance
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r0_rep0,2-12,2,12,1,0.06793031,0.06793031,3,2,True,False,False,NA,0.0,1.0,0.0,0.10993483042474932
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r0_rep0,14-11,14,11,1,0.04390979,0.04390979,4,3,True,False,False,NA,0.0,1.0,0.0,0.10993483042474932
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r0_rep0,8-7,8,7,1,0.03690265,0.03690265,2,4,True,False,False,NA,0.0,1.0,0.0,0.10993483042474932
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r0_rep0,4-7,4,7,-1,-0.05286008,0.05286008,1,4,True,False,False,NA,0.0,1.0,0.0,0.10993483042474932
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r0_rep0,11-14,11,14,-1,-0.07501901,0.07501901,7,2,True,True,False,NA,0.0,1.0,0.0,0.10993483042474932
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r1_rep0,2-11,2,11,-1,-0.08491566,0.08491566,3,3,True,False,False,NA,0.0,1.0,0.0,0.1614587946950924
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r1_rep0,7-1,7,1,1,0.0355803,0.0355803,5,2,True,True,False,NA,0.0,1.0,0.0,0.1614587946950924
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r1_rep0,17-14,17,14,1,0.0997084,0.0997084,2,2,True,False,False,NA,0.0,1.0,0.0,0.1614587946950924
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r1_rep0,16-18,16,18,-1,-0.06540401,0.06540401,2,3,True,False,False,NA,0.0,1.0,0.0,0.1614587946950924
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r1_rep0,7-11,7,11,1,0.06192566,0.06192566,5,3,True,True,False,NA,0.0,1.0,0.0,0.1614587946950924
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r2_rep0,4-7,4,7,-1,-0.05286008,0.05286008,1,4,True,False,False,NA,0.0,1.0,0.0,0.10988394738320029
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r2_rep0,11-1,11,1,1,0.09094006,0.09094006,7,2,True,True,False,NA,0.0,1.0,0.0,0.10988394738320029
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r2_rep0,11-14,11,14,-1,-0.07501901,0.07501901,7,2,True,True,False,NA,0.0,1.0,0.0,0.10988394738320029
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r2_rep0,8-7,8,7,1,0.03690265,0.03690265,2,4,True,False,False,NA,0.0,1.0,0.0,0.10988394738320029
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r2_rep0,9-11,9,11,-1,-0.06149058,0.06149058,2,3,True,False,False,NA,0.0,1.0,0.0,0.10988394738320029
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r3_rep0,1-3,1,3,-1,-0.03040745,0.03040745,4,3,True,False,False,NA,0.0,1.0,0.0,0.2077906468452473
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r3_rep0,17-14,17,14,1,0.0997084,0.0997084,2,2,True,False,False,NA,0.0,1.0,0.0,0.2077906468452473
