perturbation_id,source_world_id,perturbation_mode,delete_k,repeat_index,N_init_screened,N_pre_perturb_state_classes,N_perturbed_representatives,fraction_robust,fraction_landing_shift,fraction_regime_transition,fraction_collapse,fraction_ambiguous,mean_state_landing_distance,median_state_landing_distance,delta_rho_W,delta_mean_clipping_frequency,mean_convergence_time_change,dominant_outcome
baseline_balanced_r010_t000_A_r0_rep0,baseline_balanced_r010_t000,random_delete_5,5,0,5,1,1,0.0,1.0,0.0,0.0,0.0,0.10993483,0.10993483,-0.001393,0.0,-28.0,landing_shift
baseline_balanced_r010_t000_A_r1_rep0,baseline_balanced_r010_t000,random_delete_5,5,1,5,1,1,0.0,1.0,0.0,0.0,0.0,0.16145879,0.16145879,-0.001393,0.0,-29.0,landing_shift
baseline_balanced_r010_t000_A_r2_rep0,baseline_balanced_r010_t000,random_delete_5,5,2,5,1,1,0.0,1.0,0.0,0.0,0.0,0.10988395,0.10988395,-0.001393,0.0,-33.0,landing_shift
baseline_balanced_r010_t000_A_r3_rep0,baseline_balanced_r010_t000,random_delete_5,5,3,5,1,1,0.0,1.0,0.0,0.0,0.0,0.20779065,0.20779065,-0.001393,-0.05,-23.0,landing_shift
baseline_balanced_r010_t000_A_r4_rep0,baseline_balanced_r010_t000,random_delete_5,5,4,5,1,1,0.0,1.0,0.0,0.0,0.0,0.21730497,0.21730497,-0.034572,0.0,-27.0,landing_shift
baseline_balanced_r010_t000_A_r5_rep0,baseline_balanced_r010_t000,random_delete_5,5,5,5,1,1,0.0,1.0,0.0,0.0,0.0,0.13840908,0.13840908,0.000391,-0.0497,-26.0,landing_shift
baseline_balanced_r010_t000_A_r6_rep0,baseline_balanced_r010_t000,random_delete_5,5,6,5,1,1,0.0,1.0,0.0,0.0,0.0,0.11383718,0.11383718,-0.001393,-0.05,-33.0,landing_shift
baseline_balanced_r010_t000_A_r7_rep0,baseline_balanced_r010_t000,random_delete_5,5,7,5,1,1,0.0,1.0,0.0,0.0,0.0,0.22685547,0.22685547,-0.040991,-0.05,-25.0,landing_shift
baseline_balanced_r010_t000_A_r8_rep0,baseline_balanced_r010_t000,random_delete_5,5,8,5,1,1,0.0,1.0,0.0,0.0,0.0,0.17781234,0.17781234,-0.001393,-0.05,-19.0,landing_shift
baseline_balanced_r010_t000_A_r9_rep0,baseline_balanced_r010_t000,random_delete_5,5,9,5,1,1,0.0,1.0,0.0,0.0,0.0,0.18870493,0.18870493,-0.023459,0.0,-22.0,landing_shift
baseline_balanced_r010_t000_C_r0_rep0,baseline_balanced_r010_t000,target_hub_outgoing_5,5,0,5,1,1,0.0,1.0,0.0,0.0,0.0,0.15169543,0.15169543,-0.00034,-0.0497,-25.0,landing_shift
baseline_balanced_r010_t000_D_r0_rep0,baseline_balanced_r010_t000,target_largest_scc_internal_5,5,0,5,1,1,0.0,1.0,0.0,0.0,0.0,0.24170202,0.24170202,-0.033725,0.0,-25.0,landing_shift
baseline_balanced_r010_t000_B_r0_rep0,baseline_balanced_r010_t000,target_strongest_5,5,0,5,1,1,0.0,1.0,0.0,0.0,0.0,0.2920913,0.2920913,-0.036378,-0.0499,-27.0,landing_shift
chen_balanced_r010_t006_A_r0_rep0,chen_balanced_r010_t006,random_delete_5,5,0,5,1,1,0.0,1.0,0.0,0.0,0.0,0.14193991,0.14193991,0.0,0.0499,-3.0,landing_shift
chen_balanced_r010_t006_A_r1_rep0,chen_balanced_r010_t006,random_delete_5,5,1,5,1,1,0.0,1.0,0.0,0.0,0.0,0.44733662,0.44733662,-0.005922,0.0497,3.0,landing_shift
chen_balanced_r010_t006_A_r2_rep0,chen_balanced_r010_t006,random_delete_5,5,2,5,1,1,0.0,1.0,0.0,0.0,0.0,0.45005371,0.45005371,0.049278,0.0496,-25.0,landing_shift
chen_balanced_r010_t006_A_r3_rep0,chen_balanced_r010_t006,random_delete_5,5,3,5,1,1,0.0,1.0,0.0,0.0,0.0,0.30249209,0.30249209,-0.028224,0.0497,2.0,landing_shift
chen_balanced_r010_t006_A_r4_rep0,chen_balanced_r010_t006,random_delete_5,5,4,5,1,1,0.0,1.0,0.0,0.0,0.0,0.23040555,0.23040555,-0.042926,0.099,-18.0,landing_shift
chen_balanced_r010_t006_A_r5_rep0,chen_balanced_r010_t006,random_delete_5,5,5,5,1,1,0.0,1.0,0.0,0.0,0.0,0.26721702,0.26721702,-0.03326,0.0996,-35.0,landing_shift
chen_balanced_r010_t006_A_r6_rep0,chen_balanced_r010_t006,random_delete_5,5,6,5,1,1,0.0,1.0,0.0,0.0,0.0,0.27398375,0.27398375,-0.005922,-0.05,4.0,landing_shift
chen_balanced_r010_t006_A_r7_rep0,chen_balanced_r010_t006,random_delete_5,5,7,5,1,1,0.0,1.0,0.0,0.0,0.0,0.37441813,0.37441813,0.0,0.0987,-23.0,landing_shift
chen_balanced_r010_t006_A_r8_rep0,chen_balanced_r010_t006,random_delete_5,5,8,5,1,1,0.0,1.0,0.0,0.0,0.0,0.15286332,0.15286332,0.049278,0.0499,-5.0,landing_shift
chen_balanced_r010_t006_A_r9_rep0,chen_balanced_r010_t006,random_delete_5,5,9,5,1,1,0.0,1.0,0.0,0.0,0.0,0.35741585,0.35741585,-0.019268,-0.0484,36.0,landing_shift
chen_balanced_r010_t006_C_r0_rep0,chen_balanced_r010_t006,target_hub_outgoing_5,5,0,5,1,1,0.0,1.0,0.0,0.0,0.0,0.58219116,0.58219116,0.0,0.0026,7.0,landing_shift
chen_balanced_r010_t006_D_r0_rep0,chen_balanced_r010_t006,target_largest_scc_internal_5,5,0,5,1,1,0.0,1.0,0.0,0.0,0.0,0.32402484,0.32402484,0.0,0.0004,-8.0,landing_shift
chen_balanced_r010_t006_B_r0_rep0,chen_balanced_r010_t006,target_strongest_5,5,0,5,1,1,0.0,1.0,0.0,0.0,0.0,0.47549549,0.47549549,0.0,-0.0007,-20.0,landing_shift
chen_balanced_r025_t000_A_r0_rep0,chen_balanced_r025_t000,random_delete_5,5,0,5,5,5,0.0,0.0,0.8,0.0,0.2,0.54040751,0.58885311,0.026796,0.06464,96.2,regime_transition
chen_balanced_r025_t000_A_r1_rep0,chen_balanced_r025_t000,random_delete_5,5,1,5,5,5,0.0,0.4,0.6,0.0,0.0,6088828.0343696,0.62464383,0.008899,0.08558,71.0,regime_transition
chen_balanced_r025_t000_A_r2_rep0,chen_balanced_r025_t000,random_delete_5,5,2,5,5,5,0.0,1.0,0.0,0.0,0.0,0.64392514,0.74727356,-0.00957,0.01184,0.0,landing_shift
chen_balanced_r025_t000_A_r3_rep0,chen_balanced_r025_t000,random_delete_5,5,3,5,5,5,0.0,0.2,0.8,0.0,0.0,0.7464587,0.62388132,-0.031362,0.05366,154.4,regime_transition
chen_balanced_r025_t000_A_r4_rep0,chen_balanced_r025_t000,random_delete_5,5,4,5,5,5,0.0,0.0,1.0,0.0,0.0,1.0721397,0.8591613,-0.021941,0.07132,174.8,regime_transition
chen_balanced_r025_t000_A_r5_rep0,chen_balanced_r025_t000,random_delete_5,5,5,5,5,5,0.0,0.8,0.2,0.0,0.0,0.72736492,0.70184469,-0.006832,0.00354,68.0,landing_shift
chen_balanced_r025_t000_A_r6_rep0,chen_balanced_r025_t000,random_delete_5,5,6,5,5,5,0.0,0.4,0.4,0.0,0.2,0.53457878,0.3891002,-0.028291,0.04514,51.8,regime_transition
chen_balanced_r025_t000_A_r7_rep0,chen_balanced_r025_t000,random_delete_5,5,7,5,5,5,0.0,0.6,0.2,0.0,0.2,0.59847935,0.6887455,0.005657,0.01738,200.6,landing_shift
chen_balanced_r025_t000_A_r8_rep0,chen_balanced_r025_t000,random_delete_5,5,8,5,5,5,0.0,0.6,0.2,0.0,0.2,0.85758277,0.57847408,-0.031128,0.01952,0.0,landing_shift
chen_balanced_r025_t000_A_r9_rep0,chen_balanced_r025_t000,random_delete_5,5,9,5,5,5,0.0,0.2,0.8,0.0,0.0,0.95510841,0.78308844,0.01028,0.03994,211.6,regime_transition
chen_balanced_r025_t000_C_r0_rep0,chen_balanced_r025_t000,target_hub_outgoing_5,5,0,5,5,5,0.0,0.0,1.0,0.0,0.0,0.92068065,0.95494178,-0.020073,0.1251,164.8,regime_transition
