source_world_id,pre_perturb_state_class_id,t_perturb,pre_primary_regime,pre_secondary_label,n_screened_initial_conditions,member_initial_condition_ids,representative_initial_condition_id,representative_trajectory_id,representative_state_vector_path,state_class_assignment_method,within_class_max_distance,notes
baseline_balanced_r010_t000,0,500,single_equilibrium_convergent,,5,"low_00,medium_00,high_00,sparse_00,low_01",low_00,low_00,/home/zhanghl/projects/ddc_github/runs_lite/run_005/trajectories/baseline_balanced_r010_t000_init_low_00.pt,hierarchical_average_linkage_relative_L2,0.0,clustering_threshold=0.001
chen_balanced_r010_t006,0,500,single_equilibrium_convergent,,5,"low_00,medium_00,high_00,sparse_00,low_01",medium_00,medium_00,/home/zhanghl/projects/ddc_github/runs_lite/run_005/trajectories/chen_balanced_r010_t006_init_medium_00.pt,hierarchical_average_linkage_relative_L2,0.0,clustering_threshold=0.001
chen_balanced_r025_t000,0,500,non_convergent,,5,low_00,low_00,low_00,/home/zhanghl/projects/ddc_github/runs_lite/run_005/trajectories/chen_balanced_r025_t000_init_low_00.pt,direct_per_init_no_clustering,0.0,non_convergent_world_each_init_direct
chen_balanced_r025_t000,1,500,non_convergent,,5,medium_00,medium_00,medium_00,/home/zhanghl/projects/ddc_github/runs_lite/run_005/trajectories/chen_balanced_r025_t000_init_medium_00.pt,direct_per_init_no_clustering,0.0,non_convergent_world_each_init_direct
chen_balanced_r025_t000,2,500,non_convergent,,5,high_00,high_00,high_00,/home/zhanghl/projects/ddc_github/runs_lite/run_005/trajectories/chen_balanced_r025_t000_init_high_00.pt,direct_per_init_no_clustering,0.0,non_convergent_world_each_init_direct
chen_balanced_r025_t000,3,500,non_convergent,,5,sparse_00,sparse_00,sparse_00,/home/zhanghl/projects/ddc_github/runs_lite/run_005/trajectories/chen_balanced_r025_t000_init_sparse_00.pt,direct_per_init_no_clustering,0.0,non_convergent_world_each_init_direct
chen_balanced_r025_t000,4,500,non_convergent,,5,low_01,low_01,low_01,/home/zhanghl/projects/ddc_github/runs_lite/run_005/trajectories/chen_balanced_r025_t000_init_low_01.pt,direct_per_init_no_clustering,0.0,non_convergent_world_each_init_direct
chen_balanced_r025_t005,0,500,single_equilibrium_convergent,,5,"low_00,medium_00,high_00,sparse_00,low_01",low_00,low_00,/home/zhanghl/projects/ddc_github/runs_lite/run_005/trajectories/chen_balanced_r025_t005_init_low_00.pt,hierarchical_average_linkage_relative_L2,0.0,clustering_threshold=0.001
chen_repression_biased_r025_t001,0,500,single_equilibrium_convergent,,5,"low_00,medium_00,high_00,sparse_00,low_01",sparse_00,sparse_00,/home/zhanghl/projects/ddc_github/runs_lite/run_005/trajectories/chen_repression_biased_r025_t001_init_sparse_00.pt,hierarchical_average_linkage_relative_L2,0.0,clustering_threshold=0.001
chen_repression_biased_r025_t007,0,500,multi_equilibrium_convergent,,5,"low_00,medium_00,high_00,low_01",low_00,low_00,/home/zhanghl/projects/ddc_github/runs_lite/run_005/trajectories/chen_repression_biased_r025_t007_init_low_00.pt,hierarchical_average_linkage_relative_L2,0.0,clustering_threshold=0.001
