source_world_id,selection_tier,combo_key,G,b,delta,r,strength_regime,strength_low,strength_high,sign_ratio,edge_count_pre,activation_count_pre,repression_count_pre,rho_W_pre,largest_scc_size_pre,source_primary_regime,source_secondary_label,source_attractor_label,source_equilibrium_count,source_clipping_frequency,selection_rationale
baseline_balanced_r010_t000,H1_stable,baseline_balanced,20,10.0,0.2,0.1,baseline,0.02,0.1,balanced,38,23,15,0.8914,15,single_equilibrium_convergent,fast convergence(20/20),single_equilibrium_convergent,1,0.049035,"lowest rho(W) in full dataset, zero clipping; gold-standard stable"
chen_balanced_r010_t006,H1_stable,chen_balanced,20,10.0,0.2,0.1,chen,0.1,0.2,balanced,38,20,18,0.9711,11,single_equilibrium_convergent,fast convergence(20/20),single_equilibrium_convergent,1,0.099575,moderate strength still zero clipping; baseline vs chen robustness
chen_balanced_r025_t000,H2_control,chen_balanced,20,10.0,0.2,0.25,chen,0.1,0.2,balanced,95,48,47,1.0718,20,non_convergent,clipping-dominated(20/20),non_convergent,0,0.233838,pure oscillatory; cross-combo comparison with #5
chen_balanced_r025_t005,H2_control,chen_balanced,20,10.0,0.2,0.25,chen,0.1,0.2,balanced,95,48,47,1.0848,20,single_equilibrium_convergent,slow convergence; clipping-dominated(20/20),single_equilibrium_convergent,1,0.347935,rare convergent survivor in same combo
chen_repression_biased_r025_t001,H3_rare,chen_repression_biased,20,10.0,0.2,0.25,chen,0.1,0.2,repression_biased,95,32,63,1.129,20,single_equilibrium_convergent,slow convergence; clipping-dominated(19/20) | fast convergence; clipping-dominated(1/20),single_equilibrium_convergent,1,0.397832,"same combo, rho(W) near #10; topology contrast control"
chen_repression_biased_r025_t007,H3_rare,chen_repression_biased,20,10.0,0.2,0.25,chen,0.1,0.2,repression_biased,95,32,63,1.1346,20,multi_equilibrium_convergent,fast convergence; clipping-dominated(20/20),multi_equilibrium_convergent,2,0.458265,run_005 only multi-equilibrium world
stress_balanced_r010_t001,H2_boundary,stress_balanced,20,10.0,0.2,0.1,stress,0.2,0.4,balanced,38,18,20,1.2748,12,mixed_regime,clipping-dominated; runaway divergence(18/20) | fast convergence; clipping-dominated(2/20),mixed_regime,1,0.33776,mixed_regime specimen; deletion may push toward convergent or non-convergent
stress_balanced_r010_t003,H2_boundary,stress_balanced,20,10.0,0.2,0.1,stress,0.2,0.4,balanced,38,19,19,1.0824,16,single_equilibrium_convergent,fast convergence; clipping-dominated(20/20),single_equilibrium_convergent,1,0.347297,convergent-side anchor; clip-mediated stable
stress_balanced_r010_t005,H2_boundary,stress_balanced,20,10.0,0.2,0.1,stress,0.2,0.4,balanced,38,19,19,1.3897,15,non_convergent,clipping-dominated; runaway divergence(20/20),non_convergent,0,0.348475,pure divergent; test whether deletion rescues
stress_balanced_r010_t007,H2_boundary,stress_balanced,20,10.0,0.2,0.1,stress,0.2,0.4,balanced,38,20,18,1.155,8,non_convergent,clipping-dominated(20/20),non_convergent,0,0.175465,pure sustained oscillatory; test whether deletion breaks oscillation
stress_balanced_r025_t001,H3_rare,stress_balanced,20,10.0,0.2,0.25,stress,0.2,0.4,balanced,95,48,47,1.5556,20,non_convergent,clipping-dominated; runaway divergence(20/20),non_convergent,0,0.350725,high-rho divergent control; test whether deletion can rescue
stress_repression_biased_r010_t004,H2_control,stress_repression_biased,20,10.0,0.2,0.1,stress,0.2,0.4,repression_biased,38,12,26,1.0596,15,non_convergent,clipping-dominated(20/20),non_convergent,0,0.400618,rho(W) just above 1 but pure oscillation; test rho(W) insufficiency
