source_world_id,perturbation_id,perturbation_mode,repeat_index,state_landing_id,post_primary_regime,n_initial_conditions,basin_fraction,representative_state_vector_path,representative_state_norm,mean_pairwise_distance_within_cluster,nearest_pre_state_distance,active_zero_set_id,active_clipping_set_id,interpretation_note
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r0_rep0,random_delete_5,0,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/baseline_balanced_r010_t000_random_delete_5_landing0_rep.pt,288.468579,0.0,0.109935,19,19,
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r1_rep0,random_delete_5,1,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/baseline_balanced_r010_t000_random_delete_5_r1_landing0_rep.pt,280.333728,0.0,0.161459,19,19,
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r2_rep0,random_delete_5,2,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/baseline_balanced_r010_t000_random_delete_5_r2_landing0_rep.pt,298.852022,0.0,0.109884,19,19,
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r3_rep0,random_delete_5,3,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/baseline_balanced_r010_t000_random_delete_5_r3_landing0_rep.pt,281.489941,0.0,0.207791,,,
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r4_rep0,random_delete_5,4,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/baseline_balanced_r010_t000_random_delete_5_r4_landing0_rep.pt,259.61309,0.0,0.217305,19,19,
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r5_rep0,random_delete_5,5,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/baseline_balanced_r010_t000_random_delete_5_r5_landing0_rep.pt,283.229569,0.0,0.138409,,,
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r6_rep0,random_delete_5,6,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/baseline_balanced_r010_t000_random_delete_5_r6_landing0_rep.pt,291.582235,0.0,0.113837,,,
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r7_rep0,random_delete_5,7,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/baseline_balanced_r010_t000_random_delete_5_r7_landing0_rep.pt,262.500898,0.0,0.226855,,,
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r8_rep0,random_delete_5,8,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/baseline_balanced_r010_t000_random_delete_5_r8_landing0_rep.pt,294.636347,0.0,0.177812,,,
baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r9_rep0,random_delete_5,9,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/baseline_balanced_r010_t000_random_delete_5_r9_landing0_rep.pt,279.98525,0.0,0.188705,19,19,
baseline_balanced_r010_t000,baseline_balanced_r010_t000_C_r0_rep0,target_hub_outgoing_5,0,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/baseline_balanced_r010_t000_target_hub_outgoing_5_landing0_rep.pt,279.374227,0.0,0.151695,,,
baseline_balanced_r010_t000,baseline_balanced_r010_t000_D_r0_rep0,target_largest_scc_internal_5,0,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/baseline_balanced_r010_t000_target_largest_scc_internal_5_landing0_rep.pt,251.329541,0.0,0.241702,19,19,
baseline_balanced_r010_t000,baseline_balanced_r010_t000_B_r0_rep0,target_strongest_5,0,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/baseline_balanced_r010_t000_target_strongest_5_landing0_rep.pt,249.332454,0.0,0.292091,,,
chen_balanced_r010_t006,chen_balanced_r010_t006_A_r0_rep0,random_delete_5,0,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/chen_balanced_r010_t006_random_delete_5_landing0_rep.pt,428.506999,0.0,0.14194,"3,9,14","3,9,14",
chen_balanced_r010_t006,chen_balanced_r010_t006_A_r1_rep0,random_delete_5,1,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/chen_balanced_r010_t006_random_delete_5_r1_landing0_rep.pt,322.45097,0.0,0.447337,"9,10,14","9,10,14",
chen_balanced_r010_t006,chen_balanced_r010_t006_A_r2_rep0,random_delete_5,2,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/chen_balanced_r010_t006_random_delete_5_r2_landing0_rep.pt,504.552854,0.0,0.450054,"7,9,14","7,9,14",
chen_balanced_r010_t006,chen_balanced_r010_t006_A_r3_rep0,random_delete_5,3,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/chen_balanced_r010_t006_random_delete_5_r3_landing0_rep.pt,389.034128,0.0,0.302492,"9,10,14","9,10,14",
chen_balanced_r010_t006,chen_balanced_r010_t006_A_r4_rep0,random_delete_5,4,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/chen_balanced_r010_t006_random_delete_5_r4_landing0_rep.pt,429.997235,0.0,0.230406,"3,7,10,14","3,7,10,14",
chen_balanced_r010_t006,chen_balanced_r010_t006_A_r5_rep0,random_delete_5,5,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/chen_balanced_r010_t006_random_delete_5_r5_landing0_rep.pt,412.276706,0.0,0.267217,"7,9,10,14","7,9,10,14",
chen_balanced_r010_t006,chen_balanced_r010_t006_A_r6_rep0,random_delete_5,6,0,Convergent,1,1.0,/home/zhanghl/projects/ddc_github/runs_lite/run_006/trajectories/chen_balanced_r010_t006_random_delete_5_r6_landing0_rep.pt,428.283226,0.0,0.273984,14,14,
