trajectory_id,source_world_id,perturbation_id,initial_condition_id,init_type,pre_perturb_state_class_id,is_representative_trajectory,representative_initial_condition_id,t_perturb,T_post,T_total,baseline_trajectory_id,perturbed_trajectory_id,baseline_primary_regime,baseline_secondary_label,baseline_late_window_start,baseline_late_window_end,pre_reference_state_source,pre_primary_regime,pre_secondary_label,post_primary_regime,post_secondary_label,regime_transition,perturbation_outcome,converged_pre,converged_post,convergence_time_pre,convergence_time_post,divergence_time_post,pre_reference_state_norm,post_final_state_norm,pre_post_normalized_L2,pre_post_cosine_distance,pre_post_correlation_distance,post_clipping_frequency,post_active_zero_set_id,post_active_clipping_set_id,state_landing_id_post,notes
baseline_balanced_r010_t000_A_r0_rep0,baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r0_rep0,low_00,low,0,True,low_00,500,500,1000,baseline_balanced_r010_t000_A_r0_rep0,baseline_balanced_r010_t000_A_r0_rep0,Convergent,fast convergence,900,1000,baseline_late_window,Convergent,fast convergence,Convergent,fast convergence,False,landing_shift,True,True,67,39,,293.6451709642319,288.46857900856014,0.10993483042474932,0.005993098097128224,0.012587420111631997,0.05,19,19,0,
baseline_balanced_r010_t000_A_r1_rep0,baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r1_rep0,low_00,low,0,True,low_00,500,500,1000,baseline_balanced_r010_t000_A_r1_rep0,baseline_balanced_r010_t000_A_r1_rep0,Convergent,fast convergence,900,1000,baseline_late_window,Convergent,fast convergence,Convergent,fast convergence,False,landing_shift,True,True,67,38,,293.6451709642319,280.33372840124133,0.1614587946950924,0.012577131568577982,0.02905600698614358,0.05,19,19,0,
baseline_balanced_r010_t000_A_r2_rep0,baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r2_rep0,low_00,low,0,True,low_00,500,500,1000,baseline_balanced_r010_t000_A_r2_rep0,baseline_balanced_r010_t000_A_r2_rep0,Convergent,fast convergence,900,1000,baseline_late_window,Convergent,fast convergence,Convergent,fast convergence,False,landing_shift,True,True,67,34,,293.6451709642319,298.8520222202881,0.10988394738320029,0.005777586075159324,0.013193646178299545,0.05,19,19,0,
baseline_balanced_r010_t000_A_r3_rep0,baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r3_rep0,low_00,low,0,True,low_00,500,500,1000,baseline_balanced_r010_t000_A_r3_rep0,baseline_balanced_r010_t000_A_r3_rep0,Convergent,fast convergence,900,1000,baseline_late_window,Convergent,fast convergence,Convergent,fast convergence,False,landing_shift,True,True,67,44,,293.6451709642319,281.48994062037565,0.2077906468452473,0.021626965939090526,0.0503557787440721,0.0,,,0,
baseline_balanced_r010_t000_A_r4_rep0,baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r4_rep0,low_00,low,0,True,low_00,500,500,1000,baseline_balanced_r010_t000_A_r4_rep0,baseline_balanced_r010_t000_A_r4_rep0,Convergent,fast convergence,900,1000,baseline_late_window,Convergent,fast convergence,Convergent,fast convergence,False,landing_shift,True,True,67,40,,293.6451709642319,259.6130899546884,0.21730496992159343,0.01910957985707984,0.0445743458135624,0.05,19,19,0,
baseline_balanced_r010_t000_A_r5_rep0,baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r5_rep0,low_00,low,0,True,low_00,500,500,1000,baseline_balanced_r010_t000_A_r5_rep0,baseline_balanced_r010_t000_A_r5_rep0,Convergent,fast convergence,900,1000,baseline_late_window,Convergent,fast convergence,Convergent,fast convergence,False,landing_shift,True,True,67,41,,293.6451709642319,283.22956873201423,0.13840907586992654,0.009278586437347025,0.020965626042880048,0.0003,,,0,
baseline_balanced_r010_t000_A_r6_rep0,baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r6_rep0,low_00,low,0,True,low_00,500,500,1000,baseline_balanced_r010_t000_A_r6_rep0,baseline_balanced_r010_t000_A_r6_rep0,Convergent,fast convergence,900,1000,baseline_late_window,Convergent,fast convergence,Convergent,fast convergence,False,landing_shift,True,True,67,34,,293.6451709642319,291.58223515812364,0.11383718170989222,0.006500442123009931,0.014100983565685177,0.0,,,0,
baseline_balanced_r010_t000_A_r7_rep0,baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r7_rep0,low_00,low,0,True,low_00,500,500,1000,baseline_balanced_r010_t000_A_r7_rep0,baseline_balanced_r010_t000_A_r7_rep0,Convergent,fast convergence,900,1000,baseline_late_window,Convergent,fast convergence,Convergent,fast convergence,False,landing_shift,True,True,67,42,,293.6451709642319,262.50089844718855,0.22685547361313083,0.022492858070727095,0.04708917020999087,0.0,,,0,
baseline_balanced_r010_t000_A_r8_rep0,baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r8_rep0,low_00,low,0,True,low_00,500,500,1000,baseline_balanced_r010_t000_A_r8_rep0,baseline_balanced_r010_t000_A_r8_rep0,Convergent,fast convergence,900,1000,baseline_late_window,Convergent,fast convergence,Convergent,fast convergence,False,landing_shift,True,True,67,48,,293.6451709642319,294.6363472582374,0.17781234373511795,0.015749755987560565,0.035341626687548255,0.0,,,0,
baseline_balanced_r010_t000_A_r9_rep0,baseline_balanced_r010_t000,baseline_balanced_r010_t000_A_r9_rep0,low_00,low,0,True,low_00,500,500,1000,baseline_balanced_r010_t000_A_r9_rep0,baseline_balanced_r010_t000_A_r9_rep0,Convergent,fast convergence,900,1000,baseline_late_window,Convergent,fast convergence,Convergent,fast convergence,False,landing_shift,True,True,67,45,,293.6451709642319,279.9852499777144,0.18870493131789318,0.017538663629058093,0.03947308449110187,0.05,19,19,0,
